Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	FoldEnrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	30	73.17073171	2.11E-09	"GABRB3, CSF1R, APP, GSK3B, LRRK2, PSEN2, HTR2C, HTR2A, PSEN1, TNF, SLC6A3, SLC6A4, HRH1, CNR2, CNR1, CA2, SCN9A, DRD2, LDLR, DRD4, GABRA1, PDE2A, HTR1D, HTR1A, HTR3A, HCRTR2, SOD1, MTNR1A, MTNR1B, FGFR2"	41	5534	20666	2.73246538	3.57E-07	1.19E-07	9.29E-08
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	19	46.34146341	3.52E-09	"GABRB3, CRP, APP, MAOB, LRRK2, PDE2A, HTR2C, HTR3A, HTR2A, TNF, SLC6A4, SOD1, IL6, CNR1, DRD2, LDLR, TP53, FGFR2, DRD4"	41	1777	19208	5.00915492	9.26E-07	2.31E-07	2.15E-07
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	12	29.26829268	3.86E-09	"CRP, IL1A, GSK3B, APP, IL6, IL1B, PDE2A, PSEN1, TNF, TP53, LDLR, SLC6A4"	41	505	19416	11.25293407	4.67E-06	1.56E-06	1.44E-06
GOTERM_CC_DIRECT	GO:0042734~presynaptic membrane	8	19.51219512	1.28E-08	"CNR1, PDE2A, PSEN2, HTR2A, PSEN1, DRD2, SLC6A3, SLC6A4"	41	148	20666	27.24588003	2.17E-06	5.41E-07	4.23E-07
GOTERM_BP_DIRECT	GO:0050796~regulation of insulin secretion	6	14.63414634	3.69E-08	"PER2, IL6, MTNR1B, CNR1, IL1B, TNF"	41	46	19416	61.76882291	4.46E-05	1.09E-05	1.00E-05
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	9	21.95121951	4.51E-08	"IL10, MAOB, HTR2A, DRD2, TNF, TP53, SLC6A3, SLC6A4, SOD1"	41	257	19416	16.58384739	5.45E-05	1.09E-05	1.00E-05
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	10	24.3902439	1.56E-07	"CRP, IL1A, CSF1R, IL6, HRH1, CNR2, IL1B, SCN9A, NR1H4, TNF"	41	424	19416	11.16889093	1.88E-04	3.14E-05	2.89E-05
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	8	19.51219512	1.61E-07	"GABRB3, GABRA1, CNR2, HTR3A, HTR2A, DRD2, SLC6A3, SLC6A4"	41	214	20666	18.84294506	2.73E-05	5.46E-06	4.26E-06
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	8	19.51219512	1.83E-07	"IL1A, CSF1R, APP, HTR2C, HTR2A, DRD2, TNF, FGFR2"	41	205	19416	18.48042832	2.21E-04	3.16E-05	2.92E-05
GOTERM_BP_DIRECT	GO:0007623~circadian rhythm	6	14.63414634	3.14E-07	"PER2, GSK3B, MTNR1A, SCN9A, TNF, SLC6A4"	41	70	19416	40.59094077	3.80E-04	4.75E-05	4.38E-05
GOTERM_CC_DIRECT	GO:0030424~axon	9	21.95121951	4.20E-07	"GSK3B, APP, CNR1, LRRK2, SCN9A, HTR2A, PSEN1, DRD2, SLC6A3"	41	366	20666	12.39464214	7.10E-05	1.18E-05	9.25E-06
GOTERM_BP_DIRECT	GO:0007210~serotonin receptor signaling pathway	4	9.756097561	6.75E-07	"HTR1A, HTR2C, HTR3A, HTR2A"	41	9	19416	210.4715447	8.15E-04	9.05E-05	8.36E-05
GOTERM_BP_DIRECT	GO:0007613~memory	6	14.63414634	9.90E-07	"APP, HRH1, CNR1, HTR2A, PSEN1, SLC6A4"	41	88	19416	32.28824834	0.001196234	1.20E-04	1.10E-04
GOTERM_MF_DIRECT	GO:0099589~serotonin receptor activity	4	9.756097561	1.82E-06	"HTR1D, HTR1A, HTR2C, HTR2A"	41	12	19208	156.1626016	4.78E-04	9.56E-05	8.87E-05
GOTERM_CC_DIRECT	GO:0043005~neuron projection	8	19.51219512	2.72E-06	"GABRB3, GABRA1, APP, LRRK2, HTR3A, PSEN1, SLC6A3, SLC6A4"	41	326	20666	12.36929523	4.59E-04	5.90E-05	4.60E-05
GOTERM_CC_DIRECT	GO:0098794~postsynapse	7	17.07317073	2.79E-06	"GSK3B, GABRA1, APP, LRRK2, HTR3A, PSEN1, DRD4"	41	208	20666	16.96318011	4.72E-04	5.90E-05	4.60E-05
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	6	14.63414634	3.13E-06	"APP, IL1B, PDE2A, HTR2A, TNF, LDLR"	41	111	19416	25.59789057	0.0037756	3.29E-04	3.04E-04
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	6	14.63414634	3.27E-06	"MAOB, CNR1, TNF, SLC6A3, FGFR2, SOD1"	41	112	19416	25.36933798	0.003945755	3.29E-04	3.04E-04
GOTERM_CC_DIRECT	GO:0045121~membrane raft	7	17.07317073	3.29E-06	"APP, CNR1, PSEN2, PSEN1, TNF, SLC6A3, SLC6A4"	41	214	20666	16.48757693	5.56E-04	6.18E-05	4.82E-05
GOTERM_BP_DIRECT	GO:0048148~behavioral response to cocaine	4	9.756097561	4.45E-06	"HTR2A, DRD2, DRD4, SLC6A4"	41	16	19416	118.3902439	0.005368702	4.14E-04	3.82E-04
GOTERM_BP_DIRECT	GO:0048143~astrocyte activation	4	9.756097561	6.47E-06	"APP, IL1B, PSEN1, TNF"	41	18	19416	105.2357724	0.007791146	5.58E-04	5.15E-04
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	8	19.51219512	6.94E-06	"MAOB, LRRK2, PSEN2, HTR2A, PSEN1, TNF, SLC6A3, SOD1"	41	376	20666	10.72444214	0.001171549	1.17E-04	9.16E-05
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	9	21.95121951	7.43E-06	"IL10, GSK3B, CSF1R, IL6, PSEN2, NR1H4, PSEN1, TNF, TP53"	41	506	19416	8.423021305	0.008942862	5.98E-04	5.52E-04
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	5	12.19512195	1.01E-05	"GSK3B, APP, HTR2A, TNF, TP53"	41	66	19416	35.87583149	0.012195074	7.66E-04	7.07E-04
GOTERM_BP_DIRECT	GO:0071300~cellular response to retinoic acid	5	12.19512195	1.36E-05	"GSK3B, DRD2, TNF, FGFR2, SLC6A4"	41	71	19416	33.34936448	0.016285568	9.65E-04	8.91E-04
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	8	19.51219512	2.66E-05	"IL10, IL1A, CSF1R, APP, IL6, IL1B, DRD2, TP53"	41	435	19416	8.709167368	0.031603294	0.001782582	0.001645346
GOTERM_BP_DIRECT	GO:0007626~locomotory behavior	5	12.19512195	3.04E-05	"APP, HTR2C, DRD2, SLC6A3, SOD1"	41	87	19416	27.21614802	0.036067414	0.001931736	0.001783018
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	11	26.82926829	3.19E-05	"IL1A, GSK3B, APP, IL6, IL1B, LRRK2, PSEN2, PSEN1, TNF, SLC6A3, SOD1"	40	483	8865	5.047360248	0.005629017	0.00188161	0.001552062
GOTERM_CC_DIRECT	GO:0009986~cell surface	9	21.95121951	3.41E-05	"IL1A, CSF1R, APP, PSEN2, PSEN1, TNF, LDLR, SLC6A3, FGFR2"	41	665	20666	6.821712819	0.005740298	5.23E-04	4.09E-04
GOTERM_BP_DIRECT	GO:0070050~neuron cellular homeostasis	4	9.756097561	3.85E-05	"APP, IL6, CA2, PSEN1"	41	32	19416	59.19512195	0.045533353	0.002328157	0.00214892
GOTERM_BP_DIRECT	GO:0031622~positive regulation of fever generation	3	7.317073171	4.12E-05	"CNR1, IL1B, TNF"	41	5	19416	284.1365854	0.048616579	0.002371232	0.002188679
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	6	14.63414634	4.57E-05	"APP, IL6, DRD2, TNF, FGFR2, SOD1"	41	193	19416	14.72210287	0.053762712	0.002435476	0.002247976
GOTERM_BP_DIRECT	"GO:0051966~regulation of synaptic transmission, glutamatergic"	4	9.756097561	4.64E-05	"CNR1, LRRK2, PSEN1, TNF"	41	34	19416	55.71305595	0.05452101	0.002435476	0.002247976
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	6	14.63414634	5.16E-05	"IL10, IL1A, IL6, IL1B, NR1H4, TNF"	41	198	19416	14.35033259	0.060505715	0.0024947	0.002302641
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	7	17.07317073	5.16E-05	"APP, IL6, CNR1, PSEN1, TNF, TP53, SOD1"	41	327	19416	10.13739092	0.060512467	0.0024947	0.002302641
GOTERM_BP_DIRECT	GO:0001934~positive regulation of protein phosphorylation	6	14.63414634	5.81E-05	"CSF1R, APP, IL1B, LRRK2, PSEN1, TNF"	41	203	19416	13.99687613	0.067850082	0.002636832	0.002433831
GOTERM_CC_DIRECT	GO:0043235~receptor complex	6	14.63414634	5.82E-05	"CSF1R, APP, MTNR1A, NR1H4, LDLR, FGFR2"	41	216	20666	14.00135501	0.009783545	8.19E-04	6.40E-04
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	5	12.19512195	5.89E-05	"IL1A, APP, IL6, IL1B, TNF"	41	103	19416	22.98839687	0.068776072	0.002636832	0.002433831
GOTERM_CC_DIRECT	GO:0043198~dendritic shaft	4	9.756097561	7.86E-05	"APP, PSEN2, HTR2A, PSEN1"	41	43	20666	46.88825865	0.013190273	0.001021347	7.98E-04
GOTERM_BP_DIRECT	GO:0010573~vascular endothelial growth factor production	3	7.317073171	8.63E-05	"IL6, IL1B, TNF"	41	7	19416	202.9547038	0.09912572	0.003645324	0.003364682
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	5	12.19512195	8.75E-05	"IL1A, APP, IL6, LRRK2, PSEN1"	41	114	19416	20.77021823	0.100401321	0.003645324	0.003364682
GOTERM_MF_DIRECT	GO:0002020~protease binding	5	12.19512195	8.81E-05	"GSK3B, TNF, TP53, LDLR, SLC6A3"	41	113	19208	20.72954889	0.022914013	0.003314321	0.003074883
GOTERM_MF_DIRECT	GO:0035240~dopamine binding	3	7.317073171	8.82E-05	"DRD2, SLC6A3, DRD4"	41	7	19208	200.7804878	0.022934187	0.003314321	0.003074883
GOTERM_BP_DIRECT	GO:0032722~positive regulation of chemokine production	4	9.756097561	1.08E-04	"CSF1R, APP, IL6, TNF"	41	45	19416	42.09430894	0.122674802	0.004358741	0.004023175
GOTERM_BP_DIRECT	GO:1904646~cellular response to amyloid-beta	4	9.756097561	1.23E-04	"GSK3B, APP, PSEN1, TNF"	41	47	19416	40.30306175	0.138542406	0.004806352	0.004436326
GOTERM_CC_DIRECT	GO:0030426~growth cone	5	12.19512195	1.33E-04	"APP, CNR1, LRRK2, PSEN2, PSEN1"	41	135	20666	18.66847335	0.022164749	0.001600899	0.001250407
GOTERM_BP_DIRECT	GO:0007200~phospholipase C-activating G protein-coupled receptor signaling pathway	5	12.19512195	1.33E-04	"HRH1, HTR2C, HTR2A, DRD2, HCRTR2"	41	127	19416	18.6441329	0.148492152	0.005018841	0.004632457
GOTERM_BP_DIRECT	GO:0043406~positive regulation of MAP kinase activity	4	9.756097561	1.40E-04	"IL1B, LRRK2, TNF, DRD4"	41	49	19416	38.65803883	0.155460799	0.005115533	0.004721704
GOTERM_BP_DIRECT	GO:0042053~regulation of dopamine metabolic process	3	7.317073171	1.48E-04	"HTR1A, SLC6A3, DRD4"	41	9	19416	157.8536585	0.163469754	0.005245053	0.004841253
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	11	26.82926829	1.64E-04	"IL10, IL1A, APP, IL6, THRB, IL1B, NR1H4, DRD2, TNF, TP53, FGFR2"	41	1246	19416	4.180714873	0.180263683	0.005674052	0.005237225
GOTERM_BP_DIRECT	GO:0010888~negative regulation of lipid storage	3	7.317073171	1.84E-04	"CRP, IL6, TNF"	41	10	19416	142.0682927	0.199748278	0.006184003	0.005707917
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease	5	12.19512195	1.89E-04	"IL10, IL1A, IL6, IL1B, TNF"	40	66	8865	16.78977273	0.032986484	0.008384907	0.006916364
GOTERM_BP_DIRECT	GO:0050830~defense response to Gram-positive bacterium	5	12.19512195	1.93E-04	"CRP, APP, IL6, IL1B, TNF"	41	140	19416	16.91289199	0.208559601	0.006315801	0.005829568
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	5	12.19512195	2.21E-04	"MAOB, CNR2, CNR1, IL1B, FGFR2"	41	145	19416	16.32968881	0.234762245	0.006793536	0.006270524
GOTERM_BP_DIRECT	GO:0150078~positive regulation of neuroinflammatory response	3	7.317073171	2.25E-04	"IL6, IL1B, TNF"	41	11	19416	129.1529933	0.238143449	0.006793536	0.006270524
GOTERM_BP_DIRECT	GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway	3	7.317073171	2.25E-04	"HTR1D, HTR1A, DRD4"	41	11	19416	129.1529933	0.238143449	0.006793536	0.006270524
GOTERM_BP_DIRECT	GO:0007193~adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	4	9.756097561	2.56E-04	"APP, MTNR1A, PDE2A, HTR1D"	41	60	19416	31.57073171	0.265789374	0.007528399	0.006948812
KEGG_PATHWAY	hsa04728:Dopaminergic synapse	6	14.63414634	2.60E-04	"GSK3B, MAOB, MAOA, DRD2, SLC6A3, DRD4"	40	132	8865	10.07386364	0.045010418	0.009209771	0.007596761
GOTERM_BP_DIRECT	GO:0042420~dopamine catabolic process	3	7.317073171	2.70E-04	"MAOB, MAOA, SLC6A3"	41	12	19416	118.3902439	0.278179102	0.007753921	0.007156972
GOTERM_BP_DIRECT	GO:1902895~positive regulation of miRNA transcription	4	9.756097561	2.82E-04	"IL10, IL6, TNF, TP53"	41	62	19416	30.55232101	0.288581494	0.007910811	0.007301783
KEGG_PATHWAY	hsa05133:Pertussis	5	12.19512195	3.61E-04	"IL10, IL1A, IL6, IL1B, TNF"	40	78	8865	14.20673077	0.061924904	0.010652289	0.008786634
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	4	9.756097561	3.70E-04	"IL10, IL1A, TNF, SOD1"	41	68	19416	27.85652798	0.360694308	0.009952289	0.009186094
GOTERM_BP_DIRECT	GO:0034116~positive regulation of heterotypic cell-cell adhesion	3	7.317073171	3.71E-04	"IL10, IL1B, TNF"	41	14	19416	101.4773519	0.361291323	0.009952289	0.009186094
GOTERM_CC_DIRECT	GO:0035253~ciliary rootlet	3	7.317073171	3.77E-04	"APP, PSEN2, PSEN1"	41	15	20666	100.8097561	0.061814151	0.004253012	0.003321879
GOTERM_BP_DIRECT	GO:0060079~excitatory postsynaptic potential	4	9.756097561	4.20E-04	"GSK3B, LRRK2, HTR3A, DRD2"	41	71	19416	26.67949158	0.398328595	0.011032977	0.010183584
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	5	12.19512195	4.82E-04	"IL1A, PSEN2, DRD2, TNF, SLC6A4"	41	178	19416	13.3022746	0.441932756	0.012396868	0.011442474
KEGG_PATHWAY	hsa04742:Taste transduction	5	12.19512195	5.24E-04	"GABRA1, HTR1D, SCN9A, HTR1A, HTR3A"	40	86	8865	12.88517442	0.088627286	0.01220379	0.010066403
KEGG_PATHWAY	hsa05143:African trypanosomiasis	4	9.756097561	5.52E-04	"IL10, IL6, IL1B, TNF"	40	37	8865	23.95945946	0.093040291	0.01220379	0.010066403
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	4	9.756097561	5.75E-04	"MAOB, SCN9A, DRD2, SLC6A4"	41	79	19416	23.97777092	0.500930965	0.014430335	0.01331939
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	8	19.51219512	5.85E-04	"PER2, IL10, IL6, IL1B, NR1H4, PSEN1, TNF, TP53"	41	717	19416	5.28380447	0.507311888	0.014430335	0.01331939
GOTERM_BP_DIRECT	GO:0035234~ectopic germ cell programmed cell death	3	7.317073171	6.20E-04	"IL1A, IL1B, SOD1"	41	18	19416	78.92682927	0.52759577	0.0146876	0.01355685
GOTERM_BP_DIRECT	GO:0051044~positive regulation of membrane protein ectodomain proteolysis	3	7.317073171	6.20E-04	"APP, IL1B, TNF"	41	18	19416	78.92682927	0.52759577	0.0146876	0.01355685
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	9	21.95121951	6.41E-04	"PER2, APP, THRB, PDE2A, NR1H4, PSEN1, TNF, TP53, FGFR2"	41	958	19416	4.448902694	0.53937241	0.014889923	0.013743596
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	5	12.19512195	6.67E-04	"IL10, IL1A, IL6, IL1B, TNF"	41	192	19208	12.20020325	0.161025008	0.021939473	0.020354492
GOTERM_BP_DIRECT	GO:0042310~vasoconstriction	3	7.317073171	6.92E-04	"CRP, HTR1D, SLC6A4"	41	19	19416	74.77278562	0.567029125	0.015775527	0.014561021
GOTERM_CC_DIRECT	GO:0098793~presynapse	5	12.19512195	7.76E-04	"GSK3B, APP, CNR1, HTR2A, SLC6A4"	41	215	20666	11.72206466	0.122993559	0.008199375	0.006404245
GOTERM_BP_DIRECT	GO:0051091~positive regulation of DNA-binding transcription factor activity	4	9.756097561	8.14E-04	"IL10, IL6, IL1B, TNF"	41	89	19416	21.28363935	0.626223997	0.018201565	0.016800286
GOTERM_BP_DIRECT	GO:0032930~positive regulation of superoxide anion generation	3	7.317073171	8.48E-04	"CRP, APP, SOD1"	41	21	19416	67.65156794	0.641348279	0.018287875	0.016879951
GOTERM_BP_DIRECT	GO:0060252~positive regulation of glial cell proliferation	3	7.317073171	8.48E-04	"IL6, IL1B, TNF"	41	21	19416	67.65156794	0.641348279	0.018287875	0.016879951
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	7	17.07317073	8.79E-04	"GSK3B, CNR1, LRRK2, HTR2A, PSEN1, DRD2, DRD4"	41	589	20666	5.990392977	0.138105472	0.00873865	0.006825454
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	5	12.19512195	9.26E-04	"IL1A, CSF1R, IL6, IL1B, TNF"	40	100	8865	11.08125	0.15125723	0.017340911	0.014303802
GOTERM_CC_DIRECT	GO:0005741~mitochondrial outer membrane	5	12.19512195	9.35E-04	"MAOB, MAOA, CNR1, LRRK2, PDE2A"	41	226	20666	11.15152169	0.146177934	0.008775477	0.006854219
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	4	9.756097561	9.83E-04	"IL1A, IL6, IL1B, TNF"	40	45	8865	19.7	0.159789189	0.017340911	0.014303802
KEGG_PATHWAY	hsa05012:Parkinson disease	7	17.07317073	0.001077684	"MAOB, MAOA, LRRK2, DRD2, TP53, SLC6A3, SOD1"	40	271	8865	5.724630996	0.173745864	0.017340911	0.014303802
GOTERM_BP_DIRECT	GO:0045821~positive regulation of glycolytic process	3	7.317073171	0.001109883	"APP, HTR2A, PSEN1"	41	24	19416	59.19512195	0.738832571	0.023116181	0.021336541
GOTERM_BP_DIRECT	GO:0050768~negative regulation of neurogenesis	3	7.317073171	0.001109883	"IL6, IL1B, TNF"	41	24	19416	59.19512195	0.738832571	0.023116181	0.021336541
GOTERM_BP_DIRECT	GO:0046330~positive regulation of JNK cascade	4	9.756097561	0.001140529	"IL1A, APP, IL1B, TNF"	41	100	19416	18.94243902	0.748342492	0.023351843	0.021554061
KEGG_PATHWAY	hsa05030:Cocaine addiction	4	9.756097561	0.00126109	"MAOB, MAOA, DRD2, SLC6A3"	40	49	8865	18.09183673	0.20016818	0.017593295	0.014511983
GOTERM_MF_DIRECT	GO:0005230~extracellular ligand-gated monoatomic ion channel activity	3	7.317073171	0.001331462	"GABRB3, GABRA1, HTR3A"	41	26	19208	54.05628518	0.295599307	0.038908288	0.036097423
KEGG_PATHWAY	hsa05144:Malaria	4	9.756097561	0.00133752	"IL10, IL6, IL1B, TNF"	40	50	8865	17.73	0.210929412	0.017593295	0.014511983
KEGG_PATHWAY	hsa05010:Alzheimer disease	8	19.51219512	0.00139156	"IL1A, GSK3B, APP, IL6, IL1B, PSEN2, PSEN1, TNF"	40	391	8865	4.534526854	0.218451179	0.017593295	0.014511983
GOTERM_BP_DIRECT	GO:0019222~regulation of metabolic process	3	7.317073171	0.001405979	"CNR2, CNR1, TNF"	41	27	19416	52.61788618	0.817503588	0.028307045	0.026127778
GOTERM_BP_DIRECT	GO:0006874~intracellular calcium ion homeostasis	4	9.756097561	0.00150076	"HTR2C, HTR2A, DRD2, DRD4"	41	110	19416	17.22039911	0.837289264	0.029719962	0.027431918
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	7	17.07317073	0.001575117	"IL1A, APP, IL1B, PSEN1, TP53, FGFR2, SOD1"	41	620	19416	5.346656176	0.851298962	0.030689371	0.028326696
GOTERM_BP_DIRECT	GO:0045840~positive regulation of mitotic nuclear division	3	7.317073171	0.001735663	"IL1A, IL1B, TNF"	41	30	19416	47.35609756	0.87757287	0.032760632	0.030238497
GOTERM_BP_DIRECT	GO:0007214~gamma-aminobutyric acid signaling pathway	3	7.317073171	0.001735663	"GABRB3, GABRA1, HTR1A"	41	30	19416	47.35609756	0.87757287	0.032760632	0.030238497
GOTERM_BP_DIRECT	GO:0007219~Notch signaling pathway	4	9.756097561	0.001835081	"APP, PSEN2, NR1H4, PSEN1"	41	118	19416	16.05291443	0.891461618	0.033914617	0.031303641
GOTERM_BP_DIRECT	GO:0097421~liver regeneration	3	7.317073171	0.001852951	"IL10, IL6, TNF"	41	31	19416	45.82848151	0.893785618	0.033914617	0.031303641
GOTERM_CC_DIRECT	GO:1902495~transmembrane transporter complex	3	7.317073171	0.00197051	"GABRB3, GABRA1, HTR3A"	41	34	20666	44.4748924	0.28347681	0.017527165	0.013689856
GOTERM_BP_DIRECT	GO:0010575~positive regulation of vascular endothelial growth factor production	3	7.317073171	0.001973911	"IL1A, IL6, IL1B"	41	32	19416	44.39634146	0.908261871	0.035065954	0.03236634
GOTERM_BP_DIRECT	GO:0070372~regulation of ERK1 and ERK2 cascade	3	7.317073171	0.001973911	"IL1A, IL1B, FGFR2"	41	32	19416	44.39634146	0.908261871	0.035065954	0.03236634
GOTERM_BP_DIRECT	GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand	3	7.317073171	0.002226789	"IL1A, GSK3B, IL1B"	41	34	19416	41.78479197	0.932470413	0.03842801	0.035469563
GOTERM_BP_DIRECT	GO:0099171~presynaptic modulation of chemical synaptic transmission	3	7.317073171	0.002226789	"GSK3B, HTR2A, DRD2"	41	34	19416	41.78479197	0.932470413	0.03842801	0.035469563
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	4	9.756097561	0.002262874	"APP, LRRK2, PSEN1, TP53"	41	127	19416	14.91530632	0.935359572	0.038500737	0.03553669
GOTERM_BP_DIRECT	GO:0001662~behavioral fear response	3	7.317073171	0.002358676	"HTR1A, HTR2C, DRD4"	41	35	19416	40.59094077	0.942444628	0.039573344	0.036526721
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	6	14.63414634	0.002403737	"GSK3B, IL6, IL1B, TNF, TP53, LDLR"	40	216	8865	6.15625	0.346866423	0.028364096	0.023396373
GOTERM_BP_DIRECT	GO:0001975~response to amphetamine	3	7.317073171	0.002494176	"CNR2, DRD2, DRD4"	41	36	19416	39.46341463	0.951161001	0.040715745	0.037581172
GOTERM_BP_DIRECT	GO:0042220~response to cocaine	3	7.317073171	0.002494176	"CNR1, DRD2, SLC6A3"	41	36	19416	39.46341463	0.951161001	0.040715745	0.037581172
GOTERM_BP_DIRECT	GO:0008340~determination of adult lifespan	3	7.317073171	0.002633275	"LRRK2, TP53, SOD1"	41	37	19416	38.39683586	0.958738624	0.041855212	0.038632915
GOTERM_BP_DIRECT	GO:0045787~positive regulation of cell cycle	3	7.317073171	0.002633275	"IL10, FGFR2, SLC6A4"	41	37	19416	38.39683586	0.958738624	0.041855212	0.038632915
GOTERM_BP_DIRECT	GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	3	7.317073171	0.002775957	"IL1A, IL1B, TNF"	41	38	19416	37.38639281	0.965292474	0.043550077	0.040197298
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	4	9.756097561	0.002922745	"GSK3B, CSF1R, LRRK2, FGFR2"	41	139	19416	13.62765397	0.970951054	0.045265081	0.04178027
KEGG_PATHWAY	hsa05135:Yersinia infection	5	12.19512195	0.003030761	"IL10, GSK3B, IL6, IL1B, TNF"	40	138	8865	8.029891304	0.415652358	0.032388533	0.026715965
