name	value
Nagold	776
Rohrdorf	970
Schömberg	955
Bad Teinach-Zavelstein	842
Neubulach	222
Neuweiler	346
Wildberg	387
Denzlingen	932
Reute	70
Vörstetten	320
Biederbach	336
Elzach	884
Winden im Elztal	242
Emmendingen	277
Freiamt	156
Malterdingen	747
Sexau	638
Teningen	702
Herbolzheim	276
Kenzingen	908
Rheinhausen	25
Weisweil	771
Bahlingen am Kaiserstuhl	128
Endingen am Kaiserstuhl	125
Forchheim	978
Riegel am Kaiserstuhl	300
Sasbach am Kaiserstuhl	172
Wyhl am Kaiserstuhl	346
Gutach im Breisgau	415
Simonswald	677
Waldkirch	910
Birkenfeld	697
Friolzheim	130
Heimsheim	995
Mönsheim	702
Wiernsheim	828
Wimsheim	941
Wurmberg	187
Illingen	875
Ispringen	870
Eisingen	945
Kämpfelbach	262
Königsbach-Stein	821
Keltern	578
Knittlingen	844
Ötisheim	750
Mühlacker	772
Maulbronn	173
Sternenfels	77
Engelsbrand	334
Neuenbürg	275
Ölbronn-Dürrn	337
Kieselbronn	496
Neulingen	881
Niefern-Öschelbronn	677
Remchingen	891
Straubenhardt	642
Neuhausen	77
Tiefenbronn	134
Aichtal	459
Aichwald	56
Denkendorf	319
Esslingen am Neckar	316
Filderstadt	460
Dettingen unter Teck	352
Kirchheim unter Teck	340
Notzingen	334
Leinfelden-Echterdingen	895
Erkenbrechtsweiler	200
Lenningen	806
Owen	356
Frickenhausen	211
Großbettlingen	295
Nürtingen	947
Oberboihingen	408
Unterensingen	730
Wolfschlugen	14
Altenriet	426
Bempflingen	187
Neckartailfingen	85
Neckartenzlingen	384
Schlaitdorf	611
Beuren	180
Kohlberg	106
Neuffen	852
Neuhausen auf den Fildern	841
Ostfildern	85
Altbach	647
Deizisau	571
Plochingen	997
Baltmannsweiler	976
Lichtenwald	659
Reichenbach an der Fils	27
Bissingen an der Teck	466
Holzmaden	662
Neidlingen	309
Ohmden	783
Weilheim an der Teck	486
Köngen	812
Wendlingen am Neckar	260
Wernau (Neckar)	649
Freiburg im Breisgau	840
Alpirsbach	430
Baiersbronn	108
Dornstetten	206
Glatten	429
Schopfloch	339
Waldachtal	764
Bad Rippoldsau-Schapbach	211
Freudenstadt	475
Seewald	928
Empfingen	207
Eutingen im Gäu	479
Horb am Neckar	317
Loßburg	246
Grömbach	111
Pfalzgrafenweiler	550
Wörnersberg	741
Adelberg	424
Börtlingen	926
Birenbach	989
Rechberghausen	224
Böhmenkirch	659
Bad Ditzenbach	520
Deggingen	15
Ebersbach an der Fils	782
Schlierbach	553
Eislingen/Fils	416
Ottenbach	243
Salach	976
Göppingen	521
Schlat	736
Wäschenbeuren	839
Wangen	256
Bad Überkingen	309
Geislingen an der Steige	585
Kuchen	6
Donzdorf	659
Gingen an der Fils	605
Lauterstein	238
Süßen	811
Drackenstein	187
Gruibingen	986
Hohenstadt	496
Mühlhausen im Täle	399
Wiesensteig	740
Aichelberg	634
Bad Boll	703
Gammelshausen	324
Hattenhofen	550
Zell unter Aichelberg	448
Albershausen	953
Uhingen	36
Eschenbach	773
Heiningen	266
Heidelberg	188
Dischingen	52
Gerstetten	501
Giengen an der Brenz	983
Hermaringen	33
Heidenheim an der Brenz	565
Nattheim	126
Herbrechtingen	230
Königsbronn	76
Niederstotzingen	473
Sontheim an der Brenz	354
Steinheim am Albuch	742
Bad Friedrichshall	180
Oedheim	767
Offenau	138
Bad Rappenau	434
Kirchardt	938
Siegelsbach	760
Bad Wimpfen	545
Brackenheim	765
Cleebronn	69
Eppingen	52
Gemmingen	694
Ittlingen	419
Flein	772
Talheim	510
Gundelsheim	535
Lauffen am Neckar	570
Neckarwestheim	739
Nordheim	492
Leingarten	409
Jagsthausen	531
Möckmühl	835
Roigheim	655
Widdern	843
Erlenbach	974
Neckarsulm	902
Untereisesheim	890
Neudenau	433
Hardthausen am Kocher	82
Langenbrettach	832
Neuenstadt am Kocher	389
Güglingen	882
Pfaffenhofen	498
Zaberfeld	864
Löwenstein	490
Obersulm	568
Eberstadt	316
Ellhofen	303
Lehrensteinsfeld	116
Weinsberg	701
Abstatt	286
Beilstein	790
Ilsfeld	685
Untergruppenbach	72
Massenbachhausen	122
Schwaigern	200
Wüstenrot	334
Heilbronn	125
Öhringen	595
Pfedelbach	153
Zweiflingen	770
Bretzfeld	781
Kupferzell	584
Neuenstein	406
Waldenburg	776
Ingelfingen	146
Künzelsau	637
Dörzbach	103
Krautheim	328
Mulfingen	601
Forchtenberg	109
Niedernhall	345
Weißbach	909
Schöntal	524
Östringen	725
Bad Schönborn	528
Kronau	407
Bretten	18
Gondelsheim	16
Bruchsal	772
Forst	198
Hambrücken	272
Karlsdorf-Neuthard	530
Eggenstein-Leopoldshafen	763
Ettlingen	855
Dettenheim	746
Graben-Neudorf	163
Karlsbad	833
Kraichtal	238
Linkenheim-Hochstetten	576
Malsch	239
Marxzell	287
Kürnbach	212
Oberderdingen	875
Pfinztal	211
Oberhausen-Rheinhausen	527
Philippsburg	584
Rheinstetten	605
Stutensee	831
Sulzfeld	586
Zaisenhausen	726
Ubstadt-Weiher	491
Waghäusel	832
Waldbronn	457
Walzbachtal	231
Weingarten (Baden)	498
Karlsruhe	667
Aach	593
Engen	54
Mühlhausen-Ehingen	586
Büsingen am Hochrhein	429
Gailingen am Hochrhein	469
Gottmadingen	715
Öhningen	905
Gaienhofen	671
Moos	913
Hilzingen	657
Allensbach	321
Konstanz	401
Reichenau	829
Radolfzell am Bodensee	733
Rielasingen-Worblingen	847
Singen (Hohentwiel)	300
Steißlingen	492
Volkertshausen	119
Bodman-Ludwigshafen	302
Eigeltingen	125
Hohenfels	465
Mühlingen	377
Orsingen-Nenzingen	524
Stockach	3
Tengen	955
Zeller See	25
Efringen-Kirchen	701
Grenzach-Wyhlen	330
Kandern	475
Malsburg-Marzell	594
Kleines Wiesental	78
Inzlingen	656
Lörrach	312
Rheinfelden (Baden)	240
Schwörstadt	223
Aitern	363
Böllen	830
Fröhnd	79
Schönau im Schwarzwald	842
Schönenberg	489
Tunau	858
Utzenfeld	728
Wembach	444
Wieden	269
Bad Bellingen	847
Schliengen	535
Hasel	722
Hausen im Wiesental	158
Maulburg	49
Schopfheim	956
Steinen	203
Todtnau	110
Binzen	61
Eimeldingen	775
Fischingen	849
Rümmingen	877
Schallbach	733
Wittlingen	283
Weil am Rhein	932
Häg-Ehrsberg	920
Zell im Wiesental	704
Asperg	479
Bönnigheim	803
Erligheim	587
Kirchheim am Neckar	582
Besigheim	901
Freudental	861
Gemmrigheim	361
Hessigheim	567
Löchgau	504
Mundelsheim	537
Walheim	911
Bietigheim-Bissingen	620
Ingersheim	987
Tamm	517
Ditzingen	959
Freiberg am Neckar	510
Pleidelsheim	506
Gerlingen	445
Großbottwar	262
Korntal-Münchingen	377
Kornwestheim	457
Ludwigsburg	508
Möglingen	614
Affalterbach	752
Benningen am Neckar	789
Erdmannhausen	244
Marbach am Neckar	770
Markgröningen	420
Oberstenfeld	134
Remseck am Neckar	499
Sachsenheim	996
Hemmingen	801
Schwieberdingen	697
Murr	84
Steinheim an der Murr	672
Eberdingen	443
Oberriexingen	783
Sersheim	321
Vaihingen an der Enz	678
Assamstadt	346
Bad Mergentheim	287
Igersheim	562
Ahorn	136
Boxberg	328
Creglingen	445
Freudenberg	976
Grünsfeld	740
Wittighausen	947
Külsheim	691
Lauda-Königshofen	848
Niederstetten	152
Großrinderfeld	150
Königheim	48
Tauberbischofsheim	907
Werbach	74
Weikersheim	373
Wertheim	362
Mannheim	392
Buchen (Odenwald)	640
Hüffenhardt	316
Haßmersheim	541
Höpfingen	948
Hardheim	43
Walldürn	219
Aglasterhausen	593
Neunkirchen	59
Schwarzach	533
Fahrenbach	358
Limbach	555
Elztal	616
Mosbach	731
Neckarzimmern	36
Obrigheim	674
Mudau	441
Binau	958
Neckargerach	18
Waldbrunn	209
Zwingenberg	50
Osterburken	153
Ravenstein	594
Rosenberg	988
Billigheim	606
Schefflenz	935
Adelsheim	768
Seckach	257
Achern	343
Lauf	582
Sasbach	389
Sasbachwalden	513
Appenweier	949
Ettenheim	632
Kappel-Grafenhausen	193
Mahlberg	61
Ringsheim	403
Rust	798
Friesenheim	495
Berghaupten	30
Gengenbach	6
Ohlsbach	806
Fischerbach	857
Haslach im Kinzigtal	81
Hofstetten	714
Mühlenbach	14
Steinach	340
Gutach (Schwarzwaldbahn)	534
Hausach	519
Hornberg	683
Kappelrodeck	296
Ottenhöfen im Schwarzwald	880
Seebach	236
Kehl	649
Kippenheim	411
Lahr/Schwarzwald	814
Neuried	813
Bad Peterstal-Griesbach	268
Oppenau	420
Lautenbach	350
Oberkirch	769
Renchen	656
Durbach	427
Hohberg	506
Offenburg	564
Ortenberg	147
Schutterwald	467
Rheinau	506
Meißenheim	836
Schwanau	105
Schuttertal	940
Seelbach	139
Willstätt	563
Oberwolfach	870
Wolfach	832
Biberach	98
Nordrach	216
Oberharmersbach	275
Zell am Harmersbach	795
Aalen	963
Essingen	365
Hüttlingen	495
Abtsgmünd	513
Bopfingen	933
Kirchheim am Ries	537
Riesbürg	281
Adelmannsfelden	643
Ellenberg	797
Ellwangen (Jagst)	80
Jagstzell	678
Neuler	241
Rainau	503
Wört	518
Gschwend	331
Lauchheim	763
Westhausen	317
Eschach	465
Göggingen	591
Iggingen	832
Leinzell	409
Obergröningen	983
Schechingen	544
Lorch	89
Neresheim	892
Oberkochen	80
Böbingen an der Rems	52
Bartholomä	619
Heubach	141
Heuchlingen	250
Mögglingen	773
Schwäbisch Gmünd	485
Waldstetten	186
Durlangen	948
Mutlangen	544
Ruppertshofen	31
Spraitbach	195
Täferrot	906
Stödtlen	827
Tannhausen	560
Unterschneidheim	676
Pforzheim	475
Bühlertal	300
Bühl	208
Ottersweier	57
Au am Rhein	603
Bietigheim	984
Durmersheim	610
Elchesheim-Illingen	497
Forbach	122
Gaggenau	924
Gernsbach	249
Loffenau	929
Weisenbach	110
Bischweier	943
Kuppenheim	495
Ötigheim	957
Iffezheim	163
Muggensturm	672
Rastatt	234
Steinmauern	155
Lichtenau	332
Rheinmünster	920
Hügelsheim	76
Sinzheim	361
Altshausen	542
Boms	260
Ebenweiler	77
Ebersbach-Musbach	525
Eichstegen	431
Fleischwangen	606
Guggenhausen	745
Hoßkirch	102
Königseggwald	736
Riedhausen	552
Unterwaldhausen	174
Argenbühl	199
Aulendorf	325
Bad Waldsee	131
Bergatreute	592
Bad Wurzach	283
Fronreute	785
Wolpertswende	109
Bodnegg	497
Grünkraut	997
Schlier	296
Waldburg	999
Isny im Allgäu	550
Kißlegg	635
Aichstetten	647
Aitrach	622
Leutkirch im Allgäu	669
Baienfurt	896
Baindt	996
Berg	80
Ravensburg	879
Weingarten	274
Vogt	376
Wolfegg	69
Achberg	792
Amtzell	724
Wangen im Allgäu	143
Horgenzell	418
Wilhelmsdorf	338
Alfdorf	575
Allmersbach im Tal	160
Althütte	250
Aspach	464
Auenwald	996
Backnang	917
Burgstetten	82
Kirchberg an der Murr	157
Oppenweiler	963
Weissach im Tal	387
Berglen	457
Fellbach	440
Kernen im Remstal	229
Korb	622
Murrhardt	131
Plüderhausen	132
Urbach	972
Remshalden	641
Rudersberg	486
Schorndorf	705
Winterbach	902
Großerlach	420
Spiegelberg	822
Sulzbach an der Murr	841
Waiblingen	700
Weinstadt	836
Kaisersbach	153
Welzheim	763
Leutenbach	624
Schwaikheim	156
Winnenden	222
Bad Urach	94
Grabenstetten	754
Hülben	888
Römerstein	297
Dettingen an der Erms	246
Engstingen	715
Hohenstein	741
Eningen unter Achalm	535
Gutsbezirk Münsingen	798
Lichtenstein	442
Gomadingen	966
Münsingen	719
Mehrstetten	834
Grafenberg	432
Metzingen	354
Riederich	965
Pfullingen	774
Pliezhausen	609
Walddorfhäslach	710
Reutlingen	566
Sonnenbühl	47
St. Johann	927
Trochtelfingen	772
Wannweil	46
Hayingen	231
Pfronstetten	258
Zwiefalten	734
Brühl	256
Dossenheim	412
Eberbach	228
Schönbrunn	598
Edingen-Neckarhausen	429
Eschelbronn	633
Lobbach	299
Mauer	816
Meckesheim	742
Spechbach	940
Eppelheim	82
Heddesheim	135
Hemsbach	563
Laudenbach	628
Hirschberg an der Bergstraße	157
Altlußheim	648
Hockenheim	571
Neulußheim	362
Reilingen	505
Ilvesheim	907
Ketsch	920
Ladenburg	262
Leimen	768
Bammental	306
Gaiberg	458
Neckargemünd	514
Wiesenbach	360
Nußloch	859
Oftersheim	234
Plankstadt	760
Mühlhausen	399
Rauenberg	252
Sandhausen	328
Heddesbach	208
Heiligkreuzsteinach	504
Schönau	147
Wilhelmsfeld	302
Schriesheim	316
Schwetzingen	441
Angelbachtal	94
Sinsheim	571
Zuzenhausen	167
St. Leon-Rot	129
Epfenbach	74
Helmstadt-Bargen	584
Neckarbischofsheim	399
Neidenstein	523
Reichartshausen	165
Waibstadt	609
Walldorf	247
Weinheim	82
Dielheim	451
Wiesloch	531
Dornhan	237
Dunningen	930
Eschbronn	359
Epfendorf	791
Fluorn-Winzeln	848
Oberndorf am Neckar	496
Deißlingen	115
Dietingen	686
Rottweil	640
Wellendingen	827
Zimmern ob Rottweil	985
Schenkenzell	34
Schiltach	975
Aichhalden	117
Hardt	298
Lauterbach	632
Schramberg	771
Sulz am Neckar	425
Vöhringen	251
Bösingen	508
Villingendorf	106
Blaufelden	389
Braunsbach	606
Untermünkheim	502
Kirchberg an der Jagst	153
Rot am See	567
Wallhausen	162
Crailsheim	109
Frankenhardt	932
Satteldorf	488
Stimpfach	959
Fichtenau	937
Kreßberg	462
Gerabronn	254
Langenburg	148
Ilshofen	917
Vellberg	668
Wolpertshausen	508
Fichtenberg	816
Gaildorf	665
Oberrot	108
Sulzbach-Laufen	342
Mainhardt	944
Bühlertann	466
Bühlerzell	233
Obersontheim	383
Schrozberg	608
Michelbach an der Bilz	478
Michelfeld	197
Rosengarten	458
Schwäbisch Hall	594
Bad Dürrheim	75
Blumberg	716
Bräunlingen	700
Donaueschingen	270
Hüfingen	120
Furtwangen im Schwarzwald	415
Gütenbach	890
Königsfeld im Schwarzwald	506
Schönwald im Schwarzwald	327
Schonach im Schwarzwald	973
Triberg im Schwarzwald	13
St. Georgen im Schwarzwald	152
Vöhrenbach	643
Brigachtal	732
Dauchingen	309
Mönchweiler	62
Niedereschach	959
Tuningen	398
Unterkirnach	540
Villingen-Schwenningen	780
Bad Saulgau	115
Herbertingen	946
Gammertingen	597
Hettingen	712
Neufra	897
Veringenstadt	537
Leibertingen	270
Meßkirch	818
Sauldorf	929
Hohentengen	538
Mengen	684
Scheer	179
Ostrach	709
Herdwangen-Schönach	292
Illmensee	993
Pfullendorf	107
Wald	691
Beuron	84
Bingen	372
Inzigkofen	936
Krauchenwies	939
Sigmaringendorf	260
Sigmaringen	528
Schwenningen	834
Stetten am kalten Markt	737
Stuttgart	876
Ammerbuch	729
Dettenhausen	241
Kirchentellinsfurt	528
Kusterdingen	379
Bodelshausen	919
Mössingen	210
Ofterdingen	174
Hirrlingen	127
Neustetten	597
Rottenburg am Neckar	321
Starzach	671
Dußlingen	403
Gomaringen	186
Nehren	587
Tübingen	618
Bärenthal	318
Buchheim	942
Fridingen an der Donau	173
Irndorf	891
Kolbingen	120
Mühlheim an der Donau	397
Renquishausen	269
Bubsheim	154
Deilingen	882
Egesheim	162
Gosheim	396
Königsheim	695
Reichenbach am Heuberg	668
Wehingen	551
Geisingen	221
Immendingen	734
Aldingen	345
Böttingen	311
Balgheim	148
Dürbheim	234
Denkingen	540
Frittlingen	946
Hausen ob Verena	700
Mahlstetten	920
Spaichingen	699
Durchhausen	43
Gunningen	500
Trossingen	903
Emmingen-Liptingen	773
Neuhausen ob Eck	373
Rietheim-Weilheim	645
Seitingen-Oberflacht	532
Tuttlingen	33
Wurmlingen	804
Ulm	957
Albbruck	158
Bad Säckingen	917
Herrischried	803
Murg	906
Rickenbach	286
Bonndorf im Schwarzwald	548
Wutach	246
Görwihl	262
Dettighofen	572
Jestetten	597
Lottstetten	969
Hohentengen am Hochrhein	279
Küssaberg	581
Klettgau	529
Laufenburg (Baden)	474
Ühlingen-Birkendorf	528
Grafenhausen	830
Bernau im Schwarzwald	866
Dachsberg (Südschwarzwald)	314
Häusern	622
Höchenschwand	320
Ibach	311
St. Blasien	527
Todtmoos	630
Stühlingen	264
Dogern	982
Lauchringen	261
Waldshut-Tiengen	368
Weilheim	516
Wehr	13
Eggingen	231
Wutöschingen	215
Albstadt	183
Bitz	41
Balingen	928
Geislingen	715
Bisingen	767
Grosselfingen	869
Burladingen	385
Haigerloch	220
Hechingen	903
Jungingen	38
Rangendingen	107
Meßstetten	138
Nusplingen	426
Obernheim	291
Dautmergen	189
Dormettingen	754
Dotternhausen	323
Hausen am Tann	806
Ratshausen	498
Weilen unter den Rinnen	904
Zimmern unter der Burg	829
Rosenfeld	523
Straßberg	732
Winterlingen	421
Affing	429
Aichach	394
Aindling	924
Petersdorf	504
Todtenweis	910
Adelzhausen	29
Dasing	382
Eurasburg	187
Obergriesbach	394
Sielenbach	648
Friedberg	887
Hollenbach	305
Inchenhofen	863
Kühbach	931
Schiltberg	347
Kissing	206
Merching	956
Mering	145
Schmiechen	113
Steindorf	514
Baar (Schwaben)	864
Pöttmes	944
Rehling	987
Ried	751
Altötting	782
Burghausen	263
Burgkirchen a.d. Alz	705
Emmerting	881
Mehring	643
Garching a.d. Alz	951
Haiming	370
Feichten a.d. Alz	166
Halsbach	360
Kirchweidach	965
Tyrlaching	878
Marktl	371
Stammham	842
Neuötting	597
Pleiskirchen	487
Erlbach	128
Perach	742
Reischach	199
Töging a. Inn	53
Tüßling	278
Teising	469
Kastl	313
Unterneukirchen	228
Winhöring	955
Ammerthal	179
Auerbach i.d. OPf.	159
Ebermannsdorf	49
Edelsfeld	475
Eichen	269
Ensdorf	969
Freihung	685
Gebenbach	528
Hahnbach	511
Hirschau	965
Hirschwald	442
Hohenburg	734
Birgland	974
Illschwang	91
Hirschbach	539
Königstein	353
Kümmersbruck	63
Etzelwang	872
Neukirchen b. Sulzbach-Rosenberg	140
Weigendorf	89
Poppenricht	340
Rieden	719
Schmidmühlen	798
Schnaittenbach	772
Sulzbach-Rosenberg	6
Ursensollen	610
Vilseck	250
Amberg	152
Ansbach	613
Arberg	443
Aurach	173
Bechhofen	958
Burgoberbach	254
Colmberg	56
Dürrwangen	807
Burk	628
Dentlein a. Forst	985
Wieseth	830
Dietenhofen	965
Dinkelsbühl	580
Feuchtwangen	113
Flachslanden	357
Heilsbronn	581
Herrieden	909
Ehingen	202
Gerolfingen	726
Röckingen	359
Unterschwaningen	605
Wittelshofen	997
Langfurth	426
Lehrberg	550
Leutershausen	32
Merkendorf	762
Neuendettelsau	312
Oberdachstetten	957
Petersaurach	512
Rothenburg ob der Tauber	962
Adelshofen	615
Gebsattel	528
Geslau	467
Insingen	142
Neusitz	486
Ohrenbach	886
Steinsfeld	950
Windelsbach	306
Sachsen b. Ansbach	6
Buch a. Wald	179
Diebach	320
Dombühl	213
Schillingsfürst	292
Wörnitz	254
Wettringen	218
Schnelldorf	871
Ornbau	187
Weidenbach	811
Unterer Wald	617
Wassertrüdingen	667
Bruckberg	316
Rügland	175
Weihenzell	266
Mönchsroth	865
Weiltingen	797
Wilburgstetten	407
Windsbach	756
Mitteleschenbach	704
Wolframs-Eschenbach	497
Aschaffenburg	743
Alzenau	49
Bessenbach	643
Forst Hain i. Spessart	416
Geiselbach	467
Glattbach	5
Goldbach	467
Großostheim	940
Hösbach	684
Haibach	276
Heigenbrücken	263
Heinrichsthal	415
Heinrichsthaler Forst	829
Huckelheimer Wald	315
Johannesberg	222
Kahl a. Main	560
Karlstein a. Main	756
Kleinostheim	451
Laufach	95
Mömbris	234
Mainaschaff	924
Dammbach	118
Heimbuchenthal	87
Mespelbrunn	784
Rohrbrunner Forst	167
Rothenbuch	811
Rothenbucher Forst	988
Sailauf	575
Sailaufer Forst	785
Schöllkrippener Forst	558
Blankenbach	853
Kleinkahl	58
Krombach	505
Schöllkrippen	236
Sommerkahl	360
Westerngrund	777
Wiesen	257
Stockstadt a. Main	801
Waldaschaff	698
Waldaschaffer Forst	18
Weibersbrunn	953
Wiesener Forst	419
Augsburg	194
Adelsried	332
Altenmünster	211
Aystetten	175
Biberbach	467
Bobingen	722
Diedorf	187
Dinkelscherben	435
Fischach	4
Gablingen	329
Gersthofen	696
Gessertshausen	962
Ustersbach	27
Graben	705
Großaitingen	529
Kleinaitingen	919
Oberottmarshausen	366
Horgau	423
Königsbrunn	89
Kutzenhausen	404
Hiltenfingen	253
Langerringen	608
Langweid a. Lech	679
Klosterlechfeld	699
Untermeitingen	17
Meitingen	698
Neusäß	247
Allmannshofen	934
Ellgau	785
Kühlenthal	338
Nordendorf	526
Westendorf	619
Schmellerforst	993
Schwabmünchen	286
Stadtbergen	840
Langenneufnach	614
Mickhausen	42
Mittelneufnach	88
Scherstetten	485
Walkertshofen	379
Thierhaupten	591
Wehringen	84
Bonstetten	647
Emersacker	225
Heretsried	625
Welden	378
Zusmarshausen	419
Bad Bocklet	873
Bad Brückenau	422
Geroda	607
Oberleichtersbach	993
Riedenberg	531
Schondra	374
Bad Kissingen	38
Burkardroth	589
Dreistelzer Forst	108
Elfershausen	176
Fuchsstadt	182
Aura a.d. Saale	948
Euerdorf	28
Ramsthal	896
Sulzthal	67
Forst Detter-Süd	612
Geiersnest-Ost	702
Geiersnest-West	832
Großer Auersberg	603
Hammelburg	330
Kälberberg	769
Münnerstadt	553
Maßbach	360
Rannungen	410
Thundorf i. UFr.	34
Motten	960
Mottener Forst-Süd	118
Nüdlingen	292
Neuwirtshauser Forst	28
Oberthulba	219
Oerlenbach	549
Omerz u. Roter Berg	369
Römershager Forst-Nord	535
Römershager Forst-Ost	482
Roßbacher Forst	488
Waldfensterer Forst	211
Wartmannsroth	800
Wildflecken	210
Zeitlofs	121
Bad Heilbrunn	212
Bad Tölz	8
Benediktbeuern	485
Bichl	762
Dietramszell	572
Egling	927
Gaißach	452
Geretsried	612
Icking	808
Jachenau	448
Königsdorf	781
Kochel a. See	830
Schlehdorf	546
Lenggries	413
Münsing	20
Pupplinger Au	317
Greiling	862
Reichersbeuern	901
Sachsenkam	130
Wackersberg	974
Wolfratshausen	755
Wolfratshauser Forst	268
Bamberg	611
Altendorf	480
Baunach	515
Gerach	474
Lauter	199
Reckendorf	816
Bischberg	743
Breitengüßbach	352
Burgebrach	333
Schönbrunn i. Steigerwald	359
Buttenheim	25
Ebracher Forst	852
Burgwindheim	682
Ebrach	315
Eichwald	362
Frensdorf	875
Geisberger Forst	43
Hallstadt	127
Hauptsmoor	406
Heiligenstadt i. OFr.	471
Hirschaid	730
Kemmern	109
Koppenwinder Forst	536
Lindach	501
Lisberg	653
Priesendorf	791
Litzendorf	160
Memmelsdorf	611
Oberhaid	555
Pettstadt	611
Pommersfelden	714
Rattelsdorf	957
Scheßlitz	926
Schlüsselfeld	404
Semberg	165
Stegaurach	844
Steinachsrangen	846
Königsfeld	742
Stadelhofen	600
Wattendorf	834
Strullendorf	917
Viereth-Trunstadt	429
Walsdorf	472
Winkelhofer Forst	108
Zückshuter Forst	465
Zapfendorf	611
Bayreuth	774
Ahorntal	609
Bad Berneck i. Fichtelgebirge	47
Betzenstein	456
Plech	803
Bindlach	49
Bischofsgrün	197
Bischofsgrüner Forst	919
Creußen	245
Haag	406
Prebitz	730
Schnabelwaid	421
Eckersdorf	934
Fichtelberg	969
Forst Neustädtlein a. Forst	591
Gefrees	122
Glashüttener Forst	891
Goldkronach	631
Goldkronacher Forst	365
Heinersreuth	495
Heinersreuther Forst	628
