gene	log2FC	pvalue
AGMAT	-0.461366091	0.490362418
TMEM254	0.033156885	0.805197837
SNORA11F	0.789860646	0.658649784
PLPPR4	2.376057306	2.41E-08
DCLRE1A	0.305555806	0.083300338
KPNA1	-0.143655319	0.155594801
STAG3L4	0.193995969	0.414239824
SFXN4	-0.071474762	0.728193422
MICALL1	0.059792139	0.621367165
TTC8	0.567282112	2.01E-08
APP	0.139355019	0.070946814
SLC25A15	0.289804996	0.270407747
AHCYL2	0.724190039	2.59E-09
SLC25A16	-0.083365579	0.515654954
LOC100506100	-0.146697133	0.772211945
SYN3	2.236665427	0.02481252
SLC25A5	0.032743294	0.729726593
PKP4	0.061224005	0.552223269
DDR2	-0.105847553	0.351404182
NEPRO	0.030929683	0.757133401
LRRC20	0.454569108	0.003102077
SH2D3A	0.121563592	0.753271855
FOXE1	-0.042376598	0.920499806
ACSL6	-0.317832515	0.616304488
SLC41A1	-0.14025724	0.142119042
ANKRD33	1.253726919	0.392819748
PHKB	0.14808506	0.127713873
PRKDC	0.057244837	0.603815404
PCED1B	-0.184851488	0.687661928
FURIN	-0.496357866	7.95E-07
TATDN1	0.013901812	0.918802296
FRAT2	-0.198608886	0.419360645
EIF2S3B	0.259616908	0.068856495
TNS3	0.036282018	0.779333526
PEAR1	0.243402309	0.262931759
KPNB1	-0.224312733	0.002574969
RALGPS1	0.436473003	0.027113723
MYH10	-0.618166365	4.46E-08
CPSF1	-0.007621141	0.93485472
KEAP1	-0.08473954	0.410249027
MYLIP	0.497605134	5.77E-05
LINC01686	0.464783476	0.626164877
DDX39A	-0.243017593	0.043001383
OSR2	0.782530487	6.90E-08
NME5	0.204802256	0.523249728
DCAF13	-0.302913807	0.005964713
SLC25A12	-0.475990696	0.002019078
CBWD1	-0.085799312	0.451930558
NID2	-0.471103505	2.33E-05
PTRH2	-0.227171793	0.140877454
ACER2	0.518486034	0.133073694
ADGRG1	0.325583061	0.244239034
RPUSD1	-0.108118981	0.430189052
MIIP	-0.385169683	0.01159956
LOC112268098	0.668791212	0.460353626
ADH7	0.330693175	0.831912107
NAA80	0.131155507	0.522341999
SMC6	-0.162766792	0.170033197
ZFP37	0.400027608	0.113397015
RDM1P5	3.125069865	0.015388515
MPND	-0.063217046	0.766901986
RAET1K	-0.726514874	0.575905414
HINT1	-0.183488061	0.069049677
QSER1	0.145879055	0.151079621
NTNG2	-0.151409807	0.520545208
LINC01278	-0.133403713	0.280828728
CYP2G1P	1.020969076	0.526757496
ETNK1	-0.346709867	0.010071071
LYPLA1	-0.307339707	0.025000003
PRMT1	0.087494071	0.42994621
PMS2	0.308224587	0.016120254
HELZ2	0.026853397	0.845761759
COL1A2	0.434137777	1.85E-06
DYM	0.067219193	0.553626496
NEURL1	0.159106421	0.818025493
GCDH	-0.460730327	0.002585427
FBXO21	0.161835867	0.12631172
CDH17	-0.111061672	0.903978861
MIS18BP1	-0.255178823	0.028772537
ATP9B	-0.10234974	0.339247514
STPG3	0.056621974	0.939026433
CHD1	-0.026185708	0.798389338
B3GNT2	-0.275894163	0.049378955
PDGFRL	-0.066907979	0.753252916
SP2-AS1	0.373926384	0.248742277
CHERP	0.012376785	0.910439122
SLC25A13	0.000629805	0.997086648
ELP2	0.098459131	0.248958515
SLC9A3	0.191547669	0.575262397
LOC105371730	1.480425474	0.286558564
SMC3	-0.031001008	0.769894572
DPCD	0.481380497	0.001077332
NUMBL	0.194878182	0.157145468
NXPE2	1.079983299	0.383047402
CLDN1	3.096515894	0.026221632
CLCC1	-0.097422506	0.415283732
ZSCAN5A	0.025154942	0.932831028
LRWD1	-0.150153653	0.308094607
ZNF557	0.017530519	0.927276381
SUCLG1	0.125182856	0.280160572
STARD13-AS	-1.678879833	0.192229297
SRSF9	-0.218644336	0.013343899
LRRIQ1	1.416323622	0.203428243
COLCA1	0.784868744	0.422050806
RDH10	0.124364935	0.660006051
PCSK2	-0.134626422	0.474616196
FAM225A	0.127925293	0.692880804
MOB4	-0.141037569	0.35088774
AP4B1	-0.037208824	0.828550253
RAMP2-AS1	0.386293797	0.779762568
LSM4	-0.079972741	0.461398691
TMEM9B-AS1	-0.152633383	0.569709348
DOHH	-0.295110188	0.076510183
KRT19	-0.230589231	0.571875857
SPIDR	-0.294196415	0.002481002
WDR73	0.178131065	0.136481686
FAM71F1	-1.166924247	0.328613706
ZNF570	0.321021697	0.133040342
SLAIN1	-0.567292637	0.752287509
CDC73	-0.306450078	0.002233764
SRPX	-0.919775141	3.00E-17
UBE2L3	-0.151566454	0.08547651
ATG4A	0.192262088	0.217750389
DDX24	0.224564801	0.013634259
ANGPTL2	0.877137344	8.38E-11
MRGPRF	-0.543572321	4.09E-08
FGF22	-3.004789826	0.000955734
OSGIN1	-0.029743194	0.906045188
CKM	0.386179232	0.777373393
CNTD2	0.314710011	0.744081938
SPATA18	0.360744613	0.002114591
DENND5B-AS1	0.087948537	0.788643562
TBC1D8	0.074620389	0.632474434
FTL	0.624284053	1.47E-12
SLC22A17	0.206527093	0.133494893
HMSD	-1.429231598	0.290954692
NEU3	0.406668286	0.090557288
ATXN2L	0.102344036	0.318706717
TOLLIP-AS1	0.622656762	0.33389855
IRF3	0.118505376	0.310818667
SPIN2B	-0.00171672	0.992644798
UBBP4	0.435615028	0.000744762
HEYL	-0.480400678	0.770370028
TRMT1	-0.193621893	0.155887524
SOD2	-0.588417318	0.000496638
MFSD5	-0.176931764	0.086124469
CDC37L1	-0.567739522	0.000144062
ZNF136	0.077591409	0.641194448
RNASET2	0.437410678	0.034576613
BMP8A	0.492155163	0.601823173
FBXO32	-1.086401625	0.000173479
SLC28A2	0.136377657	0.880298125
EBP	0.182343776	0.346928309
NPIPB12	-0.120035464	0.409656087
AP5B1	-0.704498655	0.000804875
FBXW12	-2.141662238	0.069590713
POLR2M	-0.078693455	0.494933257
LGALS4	-0.998029484	0.42011329
SLC47A1	0.709752168	0.094814257
GALNT10	-0.450582537	5.21E-07
MRPS31P5	-0.100723893	0.85320585
SUGP1	0.01898817	0.866363851
MELTF	-0.003676302	0.97889149
LTO1	-0.063400808	0.596712851
DDX60	0.252045607	0.05291448
HADH	-0.017997028	0.890365243
DDX1	-0.030391306	0.717931036
CELSR1	1.646894792	0.035744257
NSD2	0.346765874	0.000331672
DDN-AS1	0.956461557	0.41845655
HP	-1.489485491	0.364165222
SOD3	0.080755967	0.410465152
PIF1	-0.202613947	0.295213245
BEX4	0.249751033	0.049294622
ZNF652	0.062063423	0.644729697
LOC101927420	-0.112884218	0.88164987
BASP1-AS1	0.880210911	0.011051806
RBM6	0.188117975	0.040441743
MHENCR	0.1885357	0.606920114
ARID2	0.255587325	0.015584439
LINC01852	0.776722597	0.152963853
SLC38A10	-0.278592796	0.003951882
RPF2	-0.06641151	0.599529914
SNHG12	-0.382198886	0.034733058
SMYD5	0.167142892	0.157378604
PLEK	0.6586723	0.673701755
PLAG1	-0.121068005	0.355156928
TSPAN6	0.381227158	0.000153286
GAN	-0.407570856	0.01635283
CYP1B1	-0.079343225	0.669893924
MPHOSPH10	0.165625261	0.165406253
AMIGO1	0.137529308	0.315559394
INSYN2B	0.694386453	0.031102945
LRRC25	3.492412624	5.00E-05
FLVCR2	-0.703953979	0.035286128
ZNF441	0.362583875	0.017715282
MRPL33	-0.143396164	0.253495774
LIMS1	0.421923506	4.72E-06
ASXL2	0.096820199	0.30748174
CTTN	-0.037536146	0.605199634
AK2	-0.030159619	0.801654394
GALNT2	-0.23082986	0.002241271
CACNA1C	0.566040372	6.43E-06
OTULIN	-0.163347984	0.171963573
MRPS15	-0.000354726	0.997465483
CUX1	-0.202271121	0.026204758
MT1L	-0.914051023	2.87E-05
IMPG2	0.57121713	0.346366289
NCOR2	-0.118976467	0.304770844
PTK2B	-0.988806829	7.43E-08
GPLD1	1.518512329	0.277565891
PRPF19	0.115047118	0.248150508
C15orf62	-0.089722176	0.763933637
TEX264	-0.314691318	0.001144496
MXRA7	-0.176472472	0.031307935
FBXO44	0.07023537	0.552079109
LRCH1	0.612015174	1.26E-07
KIAA0040	-2.353654895	1.71E-09
RNF215	-0.115003457	0.371351811
NDUFAB1	-0.104416019	0.413174073
STARD13	-0.680122603	9.92E-06
ZNF260	0.462011909	0.000137488
ESPL1	-0.050657973	0.866614254
EXOSC10-AS1	-1.012951056	0.464413487
CFP	0.075878717	0.942904033
TRPT1	-0.105237005	0.479606832
ZNF665	0.588061112	0.025625984
CEP19	-0.039894573	0.851699642
MLF2	0.088499794	0.328665029
CRYBG3	0.631934874	7.46E-08
FRS3	-0.067762884	0.766267053
FLJ34503	2.351384988	0.074240867
PAIP1	0.10832449	0.299272941
WASHC4	-0.354020045	0.00039402
IL6R-AS1	1.01619475	0.272540914
APLP1	0.64726211	0.002627596
MILR1	0.598229288	0.194206715
FAM86C1	0.553244114	0.098046865
MBD6	0.096493894	0.483436191
OPTN	0.028490786	0.723535369
PCGF5	-0.407209352	0.001932423
SNCAIP	1.511246414	1.90E-05
ANO8	0.361039883	0.037173441
LIPE	-1.113045858	0.004020146
FAM110C	0.779181027	0.664760744
THRA	-0.205895843	0.060158378
TAB3	0.16557396	0.131195002
ZNF608	0.123808958	0.256576479
F2RL1	0.168335997	0.556393422
CRADD	0.177603779	0.330905698
TMEM130	0.622639418	0.000950015
RPS29	0.018155422	0.834400557
FAM13C	1.446320135	3.33E-08
ALG3	-0.277787819	0.013475613
EHMT1	0.145879375	0.141888505
CEP120	0.164518092	0.135380566
UPP1	1.16750377	1.29E-05
RNU1-1	1.092502442	0.236861823
LOC100506142	0.547133194	0.324009433
MKNK1-AS1	0.488695711	0.533264739
LDLRAD2	0.183244848	0.694422056
KCNF1	2.123274127	0.029983243
ITPRID2	0.120259882	0.218044473
CACNB4	0.637641211	0.020112131
SMIM15	-0.053284668	0.631226816
ARHGEF2	1.015709828	8.81E-30
DGAT1	-0.228518022	0.083506444
LINC00622	0.557299374	0.631265645
NCKAP5	2.220896583	1.38E-20
EIF5A	-0.226062283	0.025797499
CHCHD3	0.047143029	0.625415673
ZFP36L2	-0.646266231	2.91E-12
EBF1	-1.109841263	2.34E-15
ASPDH	-0.086350512	0.914679829
NPC1L1	2.820007442	3.66E-06
TRIP11	0.029139928	0.735106561
DNAJC5	-0.168267408	0.066802838
SUPT7L	0.141410422	0.194645453
BUB1	-0.095812563	0.730951268
LINC01465	0.059189207	0.920790232
FBLN1	0.000119934	0.998692679
N4BP2	-0.407388506	0.002566566
IFT52	0.077877676	0.422849255
KANSL1-AS1	-0.427144169	0.304783673
PAQR5	-0.01150841	0.956650869
ACADSB	-0.371642717	0.001026813
LOC100507291	0.930669957	0.019478987
GPX8	0.54124791	2.83E-12
OSMR	-0.461971472	2.08E-06
INPP5J	1.073551923	0.290192669
MAPRE3	0.752381375	3.39E-08
FHL3	-0.166748255	0.205394584
TGFBRAP1	-0.172681853	0.081911963
KIF13A	-0.165782399	0.030126389
LIG4	-0.118211741	0.384876401
A4GALT	-0.528824613	3.52E-05
NMRK1	-0.093288727	0.492258248
ARSJ	-0.308121503	0.013668313
MRPS12	-0.260919729	0.086218882
WDR70	-0.035825165	0.763523087
CAPRIN1	0.157267537	0.031842492
ICAM1	-0.286921332	0.109902504
APOBEC3F	0.465287516	0.042584978
RPS27	0.114430231	0.212863182
CRKL	-0.045718476	0.641724996
IFIT3	0.089670998	0.60267656
SLC16A14	0.443501908	0.158792456
WEE2	0.473495367	0.721580492
PRPSAP2	0.452384108	0.010660445
RNF11	-0.032122901	0.727016097
TTLL11	0.384334748	0.051110815
MBOAT7	0.067937087	0.435803272
MAZ	0.087623684	0.603695446
PHF3	0.103161857	0.22706718
MED20	-0.025479469	0.833335672
LMO2	-0.090421069	0.932149316
CLHC1	0.074476542	0.78185433
NFXL1	-0.205384127	0.203462567
PKN2-AS1	1.497197465	0.373795603
RBM34	-0.305248654	0.56167531
PJVK	0.184282076	0.472492108
IGSF6	0.963482192	0.269291615
LIN52	-0.733742729	9.84E-06
TMEM236	-1.697524368	0.238950099
GPNMB	0.403957101	1.91E-06
TBC1D15	-0.084572379	0.455860755
CD81	-0.00194205	0.98180624
SLC6A12	1.206409905	0.293044232
ZNF704	-0.510232594	0.045322717
ATPAF2	0.035694526	0.842310334
NOXRED1	0.818779201	0.153368295
ROPN1L	1.791936435	0.111716695
SLF1	-0.287070609	0.122252183
MT1G	-2.410529888	0.138221298
ADAM11	0.641344749	0.053965835
CCPG1	-0.067593893	0.568392009
WDR34	0.229783813	0.086809386
CAMK4	1.323382857	5.55E-08
KANK2	-0.223991268	0.020950681
GPER1	0.705649359	0.000388502
GATD3A	-0.071616383	0.438906031
ZSCAN16	0.013695523	0.97446745
APOL4	0.762378033	0.013767242
MON1B	-0.410153588	0.000298873
PDK3	-0.336440804	0.22946929
DHTKD1	-0.743829825	6.67E-11
AXL	-0.160460027	0.042241642
ANP32AP1	0.105913492	0.892276995
GAS2	0.303227181	0.681323694
DACT3-AS1	1.061439399	0.270304022
EMC1-AS1	0.810011281	0.336271884
CFAP126	0.000506346	0.997606537
NAPEPLD	0.289632601	0.028350608
MOAP1	-0.370218831	0.005354762
ARHGEF9	0.336074645	0.00241975
TNFRSF14	0.329858578	0.005539866
B3GAT3	-0.443791003	5.43E-05
NCKIPSD	0.02978575	0.817665871
CYP21A1P	0.710991878	0.172244189
TMEM219	-0.010304177	0.910934511
EDA	-1.481617507	9.43E-09
TBC1D19	0.709231305	1.25E-08
PGM5P4-AS1	0.687724253	0.005638878
GFER	-0.187374617	0.276333663
DDIT4L	0.786765866	0.015477579
KEL	0.863410043	0.189468016
CCNA1	-0.815889705	0.515050356
CSNK2A1	0.063533002	0.433994878
CRIM1	-1.050411295	1.84E-14
KIF14	0.206746152	0.634588414
BEGAIN	3.312995805	0.003347634
WASF1	-0.535975486	1.16E-07
NOTCH3	-0.575813845	3.68E-09
ALDOB	-0.076991073	0.939693513
ENTPD4	-0.598243757	1.96E-07
PHRF1	-0.201608506	0.048770349
CBX8	-0.31916431	0.067323546
LSAMP	-0.158963579	0.069030597
GRAMD2B	-1.232328437	2.99E-15
PSPN	-0.341787319	0.173369944
CEBPB	-0.4322538	0.001159336
UBC	-0.261775737	0.013556494
SGPP2	-0.352263008	0.738728216
SMPD1	0.131107597	0.155308535
IDH3G	0.090783826	0.384969028
PTPN11	-0.500117153	1.53E-09
ACTN2	-0.896202053	0.296971707
GPC6	-0.039535992	0.756086218
PLRG1	-0.045850154	0.604333236
DLD	-0.021496612	0.820811787
SH2D7	1.051689229	0.321650611
MEX3A	2.09922979	4.19E-10
GPR160	-0.416147084	0.271088577
NPAS1	0.31127028	0.615420322
IWS1	0.151223645	0.1702802
NKX3-1	-0.051474388	0.8864855
C7orf50	0.163833222	0.264390687
CHRNA10	-0.378190292	0.559545449
NOMO3	0.025491999	0.740774992
CALCOCO1	-0.411307657	0.000156186
CLPTM1	-0.198458174	0.021012227
ATG4D	-0.302536424	0.154804816
TTC36	0.698692049	0.60254071
ZNF778	-0.028964575	0.913178633
CEP57	0.297533226	0.003134802
TEAD1	-0.725002862	1.19E-13
LOC101929295	-0.701186576	0.092456211
GNE	-0.220461461	0.060541334
ZBTB18	0.374392739	0.01602798
IGSF8	-0.283449471	0.031481732
S100PBP	-0.088028374	0.465872144
MDGA1	0.490202128	0.000233423
IFIT1	1.664068143	3.37E-20
CYS1	0.297367851	0.170612212
LOC91370	3.889819959	0.00847831
MRGBP	-0.223366654	0.053242069
DACT3	0.516908571	0.000404708
RPA4	-0.797684136	0.669078804
OTULINL	-2.230276334	4.12E-05
APOL3	-0.429375053	0.006828556
SCAMP4	-0.015229146	0.884144944
ZNF436	0.503446377	6.03E-07
LOC105369340	-0.678167508	0.687785976
SLC41A3	-0.00076422	0.994370115
COLGALT1	-0.261486185	0.001955514
SLC2A14	-0.044713839	0.864320389
TRIM68	0.256042221	0.078384877
MITD1	0.107339426	0.415465344
PLCB4	-0.64557076	2.51E-05
LOC101928728	-0.225225557	0.725582529
ARSB	-0.12386789	0.193986359
FDXR	1.005225957	4.65E-13
PLEKHA3	-0.381715962	0.004254937
ATP2C2	-0.85775144	0.509277603
CDK20	0.599776339	0.003150239
SUOX	0.263206985	0.074353997
PPWD1	0.03049054	0.766132531
ZNF135	1.148550078	2.34E-10
DAPK2	-1.683677245	1.48E-25
HAUS5	0.635835211	0.000157246
XXYLT1	0.154941353	0.223302739
NT5DC3	-0.837170219	3.19E-05
PPARGC1B	1.021318069	0.273417083
CDYL	0.23365368	0.063447219
TTC21A	0.063914924	0.762795383
MYO9A	-0.115734258	0.200438567
PENK	-0.110853845	0.583043448
FBXO41	0.05605976	0.757826869
ICE1	-0.154201356	0.107202078
CPQ	0.073446381	0.478199593
LOC103171574	0.836410477	0.083462426
NTHL1	0.124524237	0.553966524
TENM4	1.384402177	7.74E-12
CCP110	0.273761382	0.024691868
PCDHGA4	-0.059237269	0.685089703
WHAMM	-0.554115889	1.22E-05
KCMF1	-0.13079894	0.2466883
PER2	1.242676995	2.43E-05
FARSB	-0.041896982	0.743390303
ADAP1	-1.70859911	0.012077574
GGPS1	0.028547262	0.787969213
USP38	-0.1564337	0.162313656
TBRG1	-0.094964232	0.321768751
SREBF1	0.698834745	6.40E-09
CUL7	0.509585241	1.61E-06
ZFHX4-AS1	0.321457746	0.649863293
GPX7	0.191475199	0.196263232
ANKFY1	0.01022767	0.906733396
ATG9A	-0.387006373	1.90E-05
PANK3	0.072428523	0.426693508
LCE2A	0.982947019	0.41361327
GDF1	1.914846791	0.012237959
COL7A1	-1.233408099	2.15E-32
DUSP18	0.015328292	0.95251252
RNF216P1	-0.181264418	0.21860512
CDH4	-1.310551886	2.07E-05
TYRO3	0.469519644	0.000155335
ATP2B3	2.838944627	0.050693356
MDFIC	-0.404853434	0.000193716
FLAD1	-0.141603183	0.31612328
FLNC-AS1	-0.096892758	0.90459523
ARRDC1-AS1	-0.023506793	0.891466038
NUP133	-0.15066651	0.119504605
LOC646938	0.058734201	0.929186716
TARS2	0.056629535	0.664978254
SGCE	-0.043126603	0.612612253
TCOF1	0.153002118	0.228250897
FOXJ2	-0.030461987	0.766519658
HSPB7	-0.569802661	0.001516993
CLCN5	-0.205558799	0.103190293
BRCC3	-0.145447728	0.231787714
SLC25A10	0.006250245	0.991425022
INHBC	-1.463214404	0.327198727
SLBP	-0.221262851	0.032962295
TFG	-0.062288014	0.436037013
RAB29	-0.531571665	2.19E-07
PWWP2A	0.171181798	0.226625263
NFE2L3	0.029964813	0.839257323
NDUFAF7	0.05105309	0.70621101
LOC101928673	-0.307535319	0.487549011
TAF6L	-0.021375894	0.911429727
GAR1	0.00965769	0.958315259
NEU1	0.409763662	0.000173576
IPP	0.148521447	0.274680471
CALM1	-0.433623521	1.84E-06
MNT	-0.121884719	0.303619867
DNAJC28	0.453464003	0.35530288
ASGR1	0.872894941	0.198416598
PLK3	0.322455901	0.040436423
HIST2H2BC	-0.16694945	0.410203266
MYLK	-0.051649383	0.544941957
ARHGAP31	0.702618108	8.39E-08
ZNF33B	0.235605807	0.090123891
POLR1C	-0.111267699	0.494271392
COMMD2	-0.138059142	0.232667681
EXT2	0.061322172	0.517717682
EPHX4	0.67088311	0.316286414
RECQL4	-0.02808413	0.901042457
KIAA0586	0.361428628	0.004678627
ATAT1	0.785941782	1.19E-06
LCMT1-AS2	0.979129063	0.266644854
SELENOM	-0.252839803	0.002173973
TNXB	0.500105157	1.50E-05
PNCK	0.468758432	0.447173802
TCF21	-0.498551279	3.91E-06
INVS	0.095180356	0.451618986
KCNS1	2.949728747	2.77E-09
CARD14	0.738960108	0.189616061
THUMPD1	0.030045735	0.758328279
NCAPH2	0.091476854	0.483423269
AMMECR1L	-0.332326768	0.00121247
STOML2	-0.161868209	0.100171604
PHF23	0.243433812	0.044851293
ALKAL1	0.056136863	0.907644595
BLOC1S2	0.444808943	0.000156304
LINC02454	-0.254170564	0.509394714
FOXO6	1.319077398	0.083397334
SFR1	-0.096552495	0.658416166
PID1	-0.5981241	4.94E-06
NDST2	0.179126672	0.849176898
JTB	-0.143299062	0.174657054
TTC9	0.17411669	0.847894933
CHI3L2	0.048333	0.719394253
SLF2	0.250411962	0.013361932
GOLGA8R	0.364734124	0.013662712
PDE6B	0.028797836	0.946041181
MXRA8	-0.101455319	0.158033625
WDR62	0.05753481	0.897576764
CD200	0.265882788	0.367101985
CCN3	2.55243706	2.01E-44
CAND2	0.135382373	0.345155977
PHLDA1	0.992017233	2.17E-32
ILK	-0.133125421	0.757013254
POLR3C	-0.094220644	0.365808881
C1QL4	-0.067312241	0.974965199
DUBR	0.277331555	0.126109555
RAB10	0.001968188	0.982726579
BAG2	0.231463355	0.060818627
KCTD16	1.043153006	0.00115607
TIAM2	0.292120573	0.111791908
MRPL9	-0.025294011	0.880281172
PUS10	0.330163952	0.087203407
RAPSN	0.229025609	0.886376946
PERP	0.038091393	0.662923526
PHF20L1	-0.036462905	0.73397121
LINC02544	1.46426169	0.400075613
TCAP	-0.39975016	0.559194406
ZNF571	0.465090335	0.079030101
NSUN6	0.660644379	0.009593588
NUSAP1	-0.164575577	0.402193819
SMIM10L2A	0.943392381	0.173455069
PARP1	0.028419701	0.764863711
EIF2S2	-0.039727316	0.643834167
B4GALT5	-0.284217003	0.005840235
STRADB	-0.894253767	7.33E-13
NAA20	-0.47042903	4.37E-05
CCT4	0.05808219	0.496536994
MYO1F	0.450875474	0.285551553
SDC2	-0.380299883	0.000221139
ZBTB16	-7.352656406	9.14E-43
PDGFD	-0.374055588	0.028404008
HLF	-1.287481568	4.05E-05
MICOS13	-0.202129976	0.113666759
DGKE	-0.217777983	0.246961775
FBXW9	0.186410847	0.451254149
LGALS3BP	0.073549568	0.377650496
VAMP2	-0.421388029	0.00715144
WDR64	-0.260386346	0.877851343
PPP1R8	-0.126613773	0.204292584
HS2ST1	-0.810636482	2.80E-07
TTC39B	0.107875666	0.446508595
CHST11	-0.0486731	0.832523239
TECPR2	-0.257046899	0.002982719
GOLPH3L	0.192370038	0.08258933
XPNPEP3	0.036844902	0.810591767
CDK11A	0.207204958	0.597110722
FTCDNL1	0.601330078	0.288431576
NHS	0.471010969	0.001410534
HEATR1	-0.136334146	0.147752798
LOC102725072	-0.767890607	0.024863393
TMEM140	-0.056248528	0.676868131
LINC01058	-0.330318357	0.827489413
ZNF559-ZNF177	0.581753896	0.642831583
STRAP	-0.280521	0.003344239
LOC102724927	-0.331809042	0.311318636
KCNIP2	0.330702648	0.429223819
DBF4B	0.193258956	0.316624759
OTUB2	0.572552225	0.030679279
PDP1	0.039754407	0.736813678
RPS20	0.037502905	0.611514571
CSTF3	0.307632054	0.021104844
KLHL15	0.024858051	0.868383
NDE1	-0.323075592	0.020887974
MRPS11	-0.087075053	0.541100115
ACBD3-AS1	-0.567530536	0.693414083
MUC20	-0.023163672	0.943021658
HIBADH	0.257873856	0.003180861
ANKZF1	-0.262190467	0.009907489
DDIAS	0.105910117	0.833850031
DCAF17	0.05657092	0.687322649
ENSA	0.132145108	0.136750187
TBC1D10B	0.046943126	0.633995581
P2RX5-TAX1BP3	-0.77920919	0.299087331
PCSK9	0.996571432	0.315732318
DUSP10	1.184896613	5.63E-19
POLI	-0.067906122	0.521104671
HTRA4	-2.219205514	0.012498025
HIC2	-0.2026084	0.333318424
SFTPD	0.1461967	0.85241443
GKAP1	0.401976264	0.286522338
SNRPA1	0.049762504	0.722874578
SCARA3	0.613631689	1.37E-07
LOC105378721	-0.395530127	0.395926813
COA1	0.374760094	0.001980449
APOM	0.39203582	0.194168334
CCL13	0.160281778	0.714929935
VDAC3	-0.039938827	0.661879099
CRK	-0.268407717	0.001455385
SP110	-0.503133755	0.000944626
SOX7	0.681475757	0.648325529
LTN1	-0.587403501	2.98E-06
LOC101926934	-0.622975633	0.712957491
MIR100HG	-0.00995482	0.927011822
TRIM17	0.680000401	0.044090526
LRRC2	0.198359376	0.335151339
LINC01615	0.112245344	0.800000039
GALNT3	-0.338540904	0.402990316
TMEM86A	-0.066973587	0.753783474
ECPAS	-0.307692363	0.001385841
