Term	Count	PValue
GO:0030282~bone mineralization	3	0.049231449
GO:0001837~epithelial to mesenchymal transition	3	0.049231449
GO:0050728~negative regulation of inflammatory response	4	0.050193529
GO:0007267~cell-cell signaling	7	0.051088622
GO:0050918~positive chemotaxis	3	0.051864192
GO:0008284~positive regulation of cell proliferation	10	0.057161003
GO:0051897~positive regulation of protein kinase B signaling	4	0.058268479
GO:0060527~prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	2	0.061270994
GO:0032754~positive regulation of interleukin-5 production	2	0.061270994
GO:0071286~cellular response to magnesium ion	2	0.061270994
GO:0019800~peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan	2	0.061270994
GO:0032914~positive regulation of transforming growth factor beta1 production	2	0.061270994
GO:0001768~establishment of T cell polarity	2	0.061270994
GO:0006928~movement of cell or subcellular component	4	0.061659932
GO:0032355~response to estradiol	4	0.070529864
GO:0043654~recognition of apoptotic cell	2	0.0711135
GO:0072112~glomerular visceral epithelial cell differentiation	2	0.0711135
GO:2000503~positive regulation of natural killer cell chemotaxis	2	0.0711135
GO:0048251~elastic fiber assembly	2	0.0711135
GO:2000096~positive regulation of Wnt signaling pathway, planar cell polarity pathway	2	0.0711135
GO:0051988~regulation of attachment of spindle microtubules to kinetochore	2	0.0711135
GO:0061051~positive regulation of cell growth involved in cardiac muscle cell development	2	0.0711135
GO:0032736~positive regulation of interleukin-13 production	2	0.0711135
GO:0002606~positive regulation of dendritic cell antigen processing and presentation	2	0.0711135
GO:0019441~tryptophan catabolic process to kynurenine	2	0.0711135
GO:0060687~regulation of branching involved in prostate gland morphogenesis	2	0.0711135
GO:0001867~complement activation, lectin pathway	2	0.0711135
GO:0030388~fructose 1,6-bisphosphate metabolic process	2	0.0711135
GO:0002548~monocyte chemotaxis	3	0.071601752
GO:0018108~peptidyl-tyrosine phosphorylation	5	0.077491308
GO:0006094~gluconeogenesis	3	0.077624394
GO:0034695~response to prostaglandin E	2	0.080853388
GO:0060396~growth hormone receptor signaling pathway	2	0.080853388
GO:0002221~pattern recognition receptor signaling pathway	2	0.080853388
GO:0040036~regulation of fibroblast growth factor receptor signaling pathway	2	0.080853388
GO:0006629~lipid metabolic process	5	0.083297979
GO:0010468~regulation of gene expression	4	0.087838938
GO:0097267~omega-hydroxylase P450 pathway	2	0.090491722
GO:0010863~positive regulation of phospholipase C activity	2	0.090491722
GO:0006569~tryptophan catabolic process	2	0.090491722
GO:0000082~G1/S transition of mitotic cell cycle	4	0.091907755
