title	year	length	budget	rating	votes	mpaa	genre	status
Road to Perdition	2002	117	80	7.7	30526	R	Drama	yes
Rushmore	1998	93	10	7.7	22209	R	RomCom	yes
Sense and Sensibility	1995	136	16.5	7.7	13904	PG	RomCom	yes
Triplettes de Belleville, Les	2003	78	8	7.7	6618	PG-13	Animated	yes
Truman Show, The	1998	103	60	7.7	62434	PG	Comedy Drama	yes
2046	2004	129	12	7.6	2663	R	Romance Drama	yes
Black Hawk Down	2001	142	90	7.6	32530	R	Action Drama	yes
Bloody Sunday	2002	107	5	7.6	2388	R	Drama	yes
Boogie Nights	1997	156	15	7.6	27380	R	Drama	yes
Boys Don't Cry	1999	118	2	7.6	14456	R	Drama	yes
Butterfly Effect, The	2004	120	13	7.6	22975	R	Drama	yes
Catch Me If You Can	2002	141	52	7.6	39915	PG-13	Drama	yes
Chasing Amy	1997	111	0.25	7.6	32141	R	RomCom	yes
Dead Man Walking	1995	122	11	7.6	16177	R	Drama	yes
Dirty Pretty Things	2002	97	10	7.6	6274	R	Drama	yes
Donnie Brasco	1997	127	35	7.6	20029	R	Drama	yes
Elizabeth	1998	124	25	7.6	14733	R	Drama	yes
Equilibrium	2002	107	20	7.6	17579	R	Action	yes
Foreign Correspondents	1999	102	0.5	7.6	117	PG-13	Romance Drama	yes
Gattaca	1997	101	36	7.6	26071	PG-13	Drama	yes
Gods and Monsters	1998	105	3.5	7.6	9020	R	Drama	yes
High Fidelity	2000	113	20	7.6	29704	R	RomCom	yes
Hours, The	2002	114	25	7.6	16692	PG-13	Drama	yes
Kinsey	2004	118	11	7.6	3225	R	Drama	yes
Leggenda del pianista sull'oceano, La	1998	120	9	7.6	3599	R	Drama	yes
Nueve reinas	2000	114	1.5	7.6	3721	R	Drama	yes
Postino, Il	1994	108	3	7.6	8342	PG	RomCom	yes
Royal Tenenbaums, The	2001	111	21	7.6	31227	R	Comedy Drama	yes
Samsara	2001	138	3	7.6	636	R	Action Drama	yes
Sand Pebbles, The	1966	193	12	7.6	1773	PG-13	Romance Drama	yes
Shine	1996	105	5.5	7.6	12425	PG-13	Romance Drama	yes
Simple Plan, A	1998	121	17	7.6	15398	R	Drama	yes
South Park: Bigger Longer & Uncut	1999	81	21	7.6	33188	R	Animated	yes
Star Trek: The Wrath of Khan	1982	116	11	7.6	16333	PG	Action	yes
Swingers	1996	96	0.2	7.6	15827	R	Comedy Drama	yes
Utomlyonnye solntsem	1994	132	2.8	7.6	2173	R	Drama	yes
Waiting for Guffman	1996	84	4	7.6	7337	R	Comedy	yes
Wonder Boys	2000	111	35	7.6	15668	R	Comedy Drama	yes
About a Boy	2002	101	27	7.5	18318	PG-13	Comedy Drama	yes
Apollo 13	1995	140	62	7.5	41098	PG	Drama	yes
Aviator, The	2004	170	116	7.5	16217	PG-13	Drama	yes
Best in Show	2000	90	6	7.5	11790	PG-13	Comedy	yes
Bound	1996	109	4.5	7.5	11911	R	Romance Drama	yes
Bubba Ho-tep	2002	92	1	7.5	7142	R	Comedy	yes
Chicago	2002	113	45	7.5	34933	PG-13	Comedy Drama	yes
Cider House Rules, The	1999	126	24	7.5	18950	PG-13	Romance Drama	yes
Frida	2002	123	12	7.5	8614	R	Drama	yes
Ice Storm, The	1997	112	18	7.5	13115	R	Drama	yes
Jackie Brown	1997	154	12	7.5	28891	R	Drama	yes
Jui kuen II	1994	99	2	7.5	4628	R	Action Comedy	yes
Lawn Dogs	1997	101	8	7.5	1856	R	Drama	yes
Leaving Las Vegas	1995	111	4	7.5	18027	R	Romance Drama	yes
Life as a House	2001	127	18	7.5	7696	R	Comedy Drama	yes
Master and Commander: The Far Side of the World	2003	138	150	7.5	21328	PG-13	Action Drama	yes
Ocean's Eleven	2001	116	85	7.5	44662	PG-13	Comedy	yes
Open Range	2003	139	26	7.5	8799	R	Drama	yes
Osama	2003	83	0.046	7.5	1546	PG-13	Drama	yes
Pleasantville	1998	124	40	7.5	22561	PG-13	Comedy Drama	yes
Primal Fear	1996	129	30	7.5	12467	R	Drama	yes
Punch-Drunk Love	2002	95	25	7.5	18169	R	RomCom	yes
Seabiscuit	2003	141	86	7.5	11552	PG-13	Drama	yes
Shakespeare in Love	1998	122	25	7.5	41999	R	RomCom	yes
Shattered Glass	2003	95	6	7.5	4108	PG-13	Drama	yes
Abyss, The	1989	171	69.5	7.4	21987	PG-13	Action Drama	yes
Antwone Fisher	2002	117	12.5	7.4	4472	PG-13	Drama	yes
Army of Darkness	1993	96	11	7.4	22118	R	Action Comedy	yes
Cold Mountain	2003	152	83	7.4	15712	R	Romance Drama	yes
Count of Monte Cristo, The	2002	134	35	7.4	13907	PG-13	Action Drama	yes
Dawn of the Dead	2004	109	28	7.4	16283	R	Action Drama	yes
Election	1999	103	8.5	7.4	17521	R	Comedy	yes
Enter the Dragon	1973	99	0.85	7.4	8078	R	Action	yes
Espinazo del diablo, El	2001	108	4.5	7.4	3474	R	Drama	yes
Frailty	2001	100	11	7.4	10551	R	Drama	yes
Frequency	2000	118	31	7.4	15317	PG-13	Drama	yes
Go	1999	103	6.5	7.4	20663	R	Comedy	yes
Grosse Pointe Blank	1997	107	15	7.4	20400	R	RomCom	yes
In the Bedroom	2001	130	1.7	7.4	10177	R	Drama	yes
Man on Fire	2004	146	70	7.4	14358	R	Action Drama	yes
Monster	2003	109	8	7.4	12306	R	Drama	yes
Nicholas Nickleby	2002	132	10	7.4	1651	PG	Drama	yes
Passion of the Christ, The	2004	127	30	7.4	34046	R	Drama	yes
Quiet American, The	2002	101	30	7.4	5957	R	Romance Drama	yes
Remember the Titans	2000	113	30	7.4	14195	PG	Drama	yes
Ring, The	2002	115	45	7.4	30687	PG-13	Drama	yes
Ryan's Daughter	1970	202	15	7.4	965	R	Romance Drama	yes
School of Rock, The	2003	108	20	7.4	16452	PG-13	Comedy	yes
Secondhand Lions	2003	120	30	7.4	5543	PG	Comedy Drama	yes
Shallow Grave	1994	93	2.5	7.4	9401	R	Drama	yes
Siunin Wong Fei-hung tsi titmalau	1993	90	2	7.4	3173	PG-13	Action Comedy	yes
Smoke	1995	112	7	7.4	8111	R	Comedy Drama	yes
Spider-Man	2002	121	139	7.4	63228	PG-13	Action	yes
Thirteen Days	2000	145	80	7.4	10926	PG-13	Drama	yes
Welcome to the Dollhouse	1995	88	0.8	7.4	5851	R	Comedy Drama	yes
Whole Wide World, The	1996	111	1.3	7.4	956	PG	Drama	yes
1776	1972	180	4	7.3	1754	PG	Drama	yes
About Schmidt	2002	125	30	7.3	23279	R	Comedy Drama	yes
Better Luck Tomorrow	2002	98	0.25	7.3	2697	R	Drama	yes
Bigger Than the Sky	2005	106	0.75	7.3	32	PG-13	RomCom	yes
Bourne Identity, The	2002	119	75	7.3	29871	PG-13	Action Drama	yes
Bourne Supremacy, The	2004	108	75	7.3	19878	PG-13	Action Drama	yes
Cast Away	2000	143	90	7.3	34580	PG-13	Drama	yes
Contact	1997	153	90	7.3	36390	PG	Drama	yes
Dellamorte Dellamore	1994	105	4	7.3	2313	R	RomCom	yes
Dogma	1999	130	10	7.3	43391	R	Comedy	yes
Elephant	2003	81	3	7.3	9203	R	Drama	yes
Enemy at the Gates	2001	131	70	7.3	19169	R	Action Drama	yes
Erin Brockovich	2000	130	51	7.3	24301	R	Drama	yes
EvenHand	2002	92	0.5	7.3	169	R	Drama	yes
Finding Forrester	2000	136	43	7.3	13439	PG-13	Drama	yes
Gangs of New York	2002	166	97	7.3	34808	R	Drama	yes
Gosford Park	2001	137	15	7.3	16831	R	Drama	yes
Grey Zone, The	2001	108	5	7.3	1553	R	Drama	yes
Heaven	2002	96	11	7.3	3857	R	Drama	yes
Hurricane, The	1999	145	38	7.3	12445	R	Drama	yes
Ice Age	2002	81	60	7.3	22302	PG	Animated	yes
Identity	2003	90	30	7.3	18747	R	Drama	yes
In the Company of Men	1997	97	0.025	7.3	3618	R	Comedy	yes
Insomnia	2002	118	46	7.3	22235	R	Drama	yes
Jerry Maguire	1996	139	50	7.3	34623	R	RomCom	yes
Julie Walking Home	2002	118	5	7.3	190	R	Romance Drama	yes
Latter Days	2003	107	0.85	7.3	1396	R	RomCom	yes
Life Aquatic with Steve Zissou, The	2004	118	25	7.3	9170	R	Comedy Drama	yes
Lilo & Stitch	2002	86	80	7.3	10944	PG	Animated	yes
Lost Highway	1997	135	15	7.3	15936	R	Drama	yes
Man on the Moon	1999	118	52	7.3	19826	R	Comedy Drama	yes
Mean Creek	2004	89	0.5	7.3	2094	R	Drama	yes
Menace II Society	1993	97	3.5	7.3	4704	R	Action Drama	yes
Merchant of Venice, The	2004	138	30	7.3	1400	R	Comedy Drama	yes
Metoroporisu	2001	107	14.5	7.3	3380	PG-13	Animated	yes
Monster's Ball	2001	112	4	7.3	15037	R	Romance Drama	yes
Narc	2002	105	7.5	7.3	7185	R	Drama	yes
Pieces of April	2003	80	0.3	7.3	4604	PG-13	Comedy Drama	yes
Star Trek: First Contact	1996	106	45	7.3	25046	PG-13	Action	yes
Team America: World Police	2004	98	30	7.3	13104	R	Action Comedy	yes
Three Kings	1999	114	48	7.3	31503	R	Action Comedy	yes
Training Day	2001	120	45	7.3	22776	R	Drama	yes
Waking Ned	1998	92	3	7.3	7232	PG	Comedy	yes
X-Men	2000	104	75	7.3	45332	PG-13	Action	yes
Apostle, The	1997	134	5	7.2	4231	PG-13	Drama	yes
Bad Santa	2003	98	18	7.2	11189	R	Comedy	yes
Being Julia	2004	104	18	7.2	1671	R	Comedy Drama	yes
Bon voyage	2003	115	20	7.2	1061	PG-13	Comedy Drama	yes
Buffalo '66	1998	110	1.5	7.2	6652	R	Comedy Drama	yes
Comunidad, La	2000	110	2	7.2	1270	R	Comedy	yes
Cypher	2002	95	7.5	7.2	3160	R	Action	yes
Dangerous Lives of Altar Boys, The	2002	105	12	7.2	3274	R	Drama	yes
Eve's Bayou	1997	109	5	7.2	2302	R	Drama	yes
Four Weddings and a Funeral	1994	117	6	7.2	17820	R	RomCom	yes
Full Monty, The	1997	91	3.5	7.2	22115	R	Comedy	yes
Galaxy Quest	1999	102	45	7.2	22341	PG	Comedy	yes
Holes	2003	117	30	7.2	5235	PG	Comedy Drama	yes
I Am Sam	2001	132	22	7.2	9945	PG-13	Drama	yes
K-PAX	2001	120	48	7.2	17235	PG-13	Drama	yes
Limey, The	1999	89	9	7.2	7732	R	Drama	yes
My Cousin Vinny	1992	120	11	7.2	10877	R	Comedy	yes
Napoleon Dynamite	2004	86	0.4	7.2	17524	PG	Comedy	yes
Negotiator, The	1998	139	50	7.2	19100	R	Action Drama	yes
Peter Pan	2003	113	100	7.2	5596	PG	Action	yes
Phantom of the Opera, The	2004	143	60	7.2	11283	PG-13	Romance Drama	yes
Rounders	1998	121	12	7.2	13621	R	Drama	yes
Salton Sea, The	2002	107	18	7.2	5070	R	Drama	yes
Santa sangre	1989	123	0.787	7.2	1165	R	Drama	yes
Savior	1998	104	10	7.2	1775	R	Drama	yes
Smoke Signals	1998	88	2	7.2	2665	PG-13	Comedy Drama	yes
Songcatcher	2000	109	1.8	7.2	927	PG-13	Drama	yes
There's Something About Mary	1998	134	23	7.2	46343	R	RomCom	yes
Thin Red Line, The	1998	170	52	7.2	25637	R	Action Drama	yes
Thirteen Conversations About One Thing	2001	104	3	7.2	2883	R	Drama	yes
Upside of Anger, The	2005	118	13.2	7.2	1160	R	RomCom	yes
Virgin Suicides, The	1999	90	6	7.2	17524	R	Drama	yes
Vor	1997	110	2	7.2	841	R	Drama	yes
Arlington Road	1999	117	21.5	7.1	17189	R	Drama	yes
Bananas	1971	82	2	7.1	4252	PG-13	Comedy	yes
Blow	2001	124	30	7.1	18670	R	Drama	yes
Brigham City	2001	119	1	7.1	405	PG-13	Drama	yes
Cape Fear	1991	128	35	7.1	15585	R	Drama	yes
Confessions of a Dangerous Mind	2002	113	29	7.1	11487	R	Drama	yes
Crimson Tide	1995	116	53	7.1	14033	R	Action Drama	yes
Deconstructing Harry	1997	96	20	7.1	7342	R	Comedy	yes
Dracula	1992	128	40	7.1	19972	R	Romance Drama	yes
Enemy of the State	1998	131	90	7.1	23263	R	Action Drama	yes
English Patient, The	1996	160	27	7.1	25210	R	Romance Drama	yes
Evelyn	2002	94	10	7.1	1163	PG	Drama	yes
Everything Put Together	2000	87	0.5	7.1	151	R	Drama	yes
Face/Off	1997	133	80	7.1	37506	R	Action Drama	yes
Fifth Element, The	1997	126	90	7.1	55398	PG-13	Action Drama	yes
Harold & Kumar Go to White Castle	2004	90	9	7.1	8376	R	Comedy	yes
Highlander	1986	116	16	7.1	18146	R	Action	yes
Igby Goes Down	2002	99	9	7.1	7958	R	Comedy Drama	yes
Kundun	1997	128	28	7.1	4306	PG-13	Drama	yes
Lana's Rain	2002	107	0.215	7.1	56	R	Drama	yes
Last Orders	2001	109	12	7.1	1583	R	Drama	yes
Life of David Gale, The	2003	130	50	7.1	10580	R	Drama	yes
Limbo	1999	126	8.3	7.1	2063	R	Drama	yes
Mallrats	1995	94	6.1	7.1	22837	R	Comedy Drama	yes
Matrix Reloaded, The	2003	138	127	7.1	57225	R	Action	yes
Mother Night	1996	114	5.5	7.1	1232	R	Romance Drama	yes
Muriel's Wedding	1994	106	3	7.1	6685	R	RomCom	yes
My Dog Skip	2000	95	7	7.1	3109	PG	Drama	yes
One Hour Photo	2002	96	12	7.1	17130	R	Drama	yes
Playing by Heart	1998	121	14	7.1	4958	R	Romance Drama	yes
Pollock	2000	132	6	7.1	4013	R	Drama	yes
Runaway Jury	2003	127	60	7.1	10761	PG-13	Drama	yes
Saved!	2004	92	5	7.1	6504	PG-13	Comedy Drama	yes
Signs	2002	108	72	7.1	40285	PG-13	Drama	yes
Slam	1998	100	1	7.1	569	R	Drama	yes
Speed	1994	116	28	7.1	32979	R	Action	yes
Spring Forward	1999	110	2	7.1	307	R	Drama	yes
Superman	1978	151	55	7.1	17327	PG	Action	yes
Swimming with Sharks	1994	101	0.7	7.1	4837	R	Comedy Drama	yes
Terminal, The	2004	128	60	7.1	15809	PG-13	RomCom	yes
Thirteen	2003	100	1.5	7.1	8652	R	Drama	yes
Trees Lounge	1996	95	1.3	7.1	3155	R	Comedy Drama	yes
Troy	2004	162	185	7.1	33979	R	Action Drama	yes
Twin Falls Idaho	1999	111	0.5	7.1	1547	R	Drama	yes
Unbreakable	2000	106	75	7.1	35842	PG-13	Drama	yes
We Were Soldiers	2002	143	75	7.1	14939	R	Action Drama	yes
Alferd Packer: The Musical	1996	97	0.125	7	2298	R	RomCom	yes
Amistad	1997	152	40	7	10543	R	Drama	yes
Antz	1998	83	60	7	16312	PG	Animated	yes
Austin Powers: International Man of Mystery	1997	94	17	7	33755	PG-13	Action Comedy	yes
Bridget Jones's Diary	2001	97	26	7	24791	R	RomCom	yes
Buffalo Soldiers	2001	98	15	7	3753	R	Comedy Drama	yes
Crimen del padre Amaro, El	2002	118	1.8	7	2469	R	Romance Drama	yes
Devil's Advocate, The	1997	144	57	7	26904	R	Drama	yes
Die Hard: With a Vengeance	1995	131	90	7	25258	R	Action	yes
Edges of the Lord	2001	95	7.5	7	639	R	Drama	yes
Elf	2003	95	33	7	10165	PG	Comedy	yes
End of the Affair, The	1999	102	23	7	4808	R	Romance Drama	yes
Ever After	1998	121	26	7	10250	PG	RomCom	yes
Eyes Wide Shut	1999	159	65	7	37868	R	Drama	yes
Final Solution	2001	110	1.5	7	32	R	Action Drama	yes
Friday Night Lights	2004	117	30	7	4290	PG-13	Drama	yes
Get Shorty	1995	105	30.25	7	14825	R	Comedy Drama	yes
Girl, Interrupted	1999	127	24	7	16362	R	Drama	yes
How to Kill Your Neighbor's Dog	2000	107	7.3	7	907	R	Comedy Drama	yes
Husbands	1970	131	1	7	373	PG-13	Drama	yes
I Capture the Castle	2003	111	8	7	947	R	Romance Drama	yes
I Heart Huckabees	2004	106	22	7	7262	R	Comedy	yes
I, Robot	2004	115	105	7	22330	PG-13	Action	yes
Ideal Husband, An	1999	97	14	7	4584	PG-13	RomCom	yes
Imaginary Heroes	2004	112	10	7	411	R	Comedy Drama	yes
Jake's Booty Call	2003	77	0.05	7	10	R	Comedy	yes
Japanese Story	2003	105	5.74	7	1330	R	Drama	yes
Kingdom of Heaven	2005	145	130	7	6498	R	Action Drama	yes
Kissing Jessica Stein	2001	97	1	7	4236	R	RomCom	yes
Mean Girls	2004	97	17	7	11591	PG-13	Comedy Drama	yes
Meet the Parents	2000	108	55	7	30804	PG-13	Comedy	yes
Mighty Aphrodite	1995	95	15	7	7083	R	Comedy	yes
Modigliani	2004	128	12	7	155	R	Drama	yes
My Family	1995	128	5.5	7	859	R	Drama	yes
Notting Hill	1999	124	42	7	27285	PG-13	RomCom	yes
One True Thing	1998	127	30	7	2534	R	Drama	yes
Owning Mahowny	2003	104	10	7	1999	R	Drama	yes
Panic Room	2002	113	48	7	24302	R	Drama	yes
Real Women Have Curves	2002	87	3	7	1944	PG-13	Comedy Drama	yes
Rock, The	1996	136	75	7	46184	R	Action Drama	yes
Ronin	1998	121	55	7	21982	R	Action	yes
Sleepers	1996	147	44	7	17896	R	Drama	yes
Spy Game	2001	126	92	7	16736	R	Action Drama	yes
Star Wars: Episode II - Attack of the Clones	2002	120	120	7	63889	PG	Action	yes
Suicide Kings	1997	106	5	7	6117	R	Comedy Drama	yes
Sunshine State	2002	141	5.6	7	1481	PG-13	Drama	yes
Talented Mr. Ripley, The	1999	139	40	7	25974	R	Drama	yes
Wag the Dog	1997	97	15	7	16434	R	Comedy	yes
Zero Effect	1998	116	5	7	4820	R	Comedy	yes
Affliction	1997	114	6	6.9	3679	R	Drama	yes
American President, The	1995	114	62	6.9	11834	PG-13	RomCom	yes
Beautiful Country, The	2004	137	6	6.9	115	R	Drama	yes
Bridges of Madison County, The	1995	135	22	6.9	7633	PG-13	Romance Drama	yes
Contender, The	2000	126	9	6.9	7023	R	Drama	yes
Emma	1996	121	6	6.9	6431	PG	RomCom	yes
Everyone Says I Love You	1996	101	20	6.9	7314	R	RomCom	yes
Freaky Friday	2003	97	26	6.9	8052	PG	Comedy Drama	yes
Good Girl, The	2002	93	5	6.9	8254	R	Comedy Drama	yes
Great White Hope, The	1970	103	6	6.9	369	PG-13	Drama	yes
Hitchhiker's Guide to the Galaxy, The	2005	110	50	6.9	7644	PG	Comedy	yes
House of Mirth, The	2000	140	10	6.9	2167	PG	Romance Drama	yes
Italian Job, The	2003	111	60	6.9	18496	PG-13	Action	yes
Jay and Silent Bob Strike Back	2001	104	22	6.9	24211	R	Comedy	yes
Jesus' Son	1999	107	2.5	6.9	2291	R	Drama	yes
Little Secrets	2001	97	2.5	6.9	457	PG	Drama	yes
Lovely & Amazing	2001	91	0.25	6.9	1813	R	Comedy Drama	yes
Manny & Lo	1996	88	0.5	6.9	395	R	Drama	yes
Moonlight Mile	2002	117	20	6.9	3479	PG-13	Romance Drama	yes
Mumford	1999	112	28	6.9	3384	R	Comedy Drama	yes
My Big Fat Greek Wedding	2002	95	5	6.9	21675	PG	RomCom	yes
Nil by Mouth	1997	128	9	6.9	1159	R	Drama	yes
Panic	2000	88	1	6.9	2524	R	Comedy Drama	yes
Pledge, The	2001	123	45	6.9	9852	R	Drama	yes
Prince of Egypt, The	1998	99	60	6.9	9212	PG	Animated	yes
Radio	2003	109	35	6.9	3594	PG	Drama	yes
Return to Me	2000	115	24	6.9	5057	PG	RomCom	yes
Saints and Soldiers	2003	90	0.78	6.9	689	PG-13	Action Drama	yes
Shape of Things, The	2003	96	4	6.9	1816	R	Drama	yes
Shipping News, The	2001	111	35	6.9	7695	R	Romance Drama	yes
Strange Days	1995	145	42	6.9	11869	R	Action Drama	yes
Terminator 3: Rise of the Machines	2003	109	175	6.9	32111	R	Action	yes
