Symbol	logFC	P.Value
ZNF514	1.605437562	8.17E-08
TCEAL1	2.366326534	8.37E-08
HOXA9	2.269711736	8.43E-08
SPON2	-1.990975545	8.59E-08
SELK	2.416620159	8.59E-08
THUMPD1	1.91383205	8.85E-08
SDAD1	1.127485936	8.87E-08
DKFZP564O0523	2.586508268	8.96E-08
ASXL2	2.491785167	8.99E-08
ATP6V1C1	2.343858942	9.19E-08
C1orf43	2.099332016	9.24E-08
CD44	1.342161754	9.46E-08
PTPRE	1.73773728	9.50E-08
SNORD76	2.570643097	9.62E-08
SNORD114-3	2.591413172	9.77E-08
ZMAT1	2.348465353	9.87E-08
UBE3C	1.873475224	9.87E-08
C7orf23	1.55543335	1.00E-07
KIAA1600	2.47904252	1.00E-07
IQGAP2	2.293080363	1.03E-07
COPS8	2.503755753	1.03E-07
SFRS5	1.971978562	1.05E-07
BARD1	-1.138523468	1.05E-07
MKI67IP	1.846953972	1.07E-07
ZNF141	2.064901931	1.08E-07
P4HA1	1.829654049	1.09E-07
NCOR2	1.845832019	1.10E-07
CFI	2.365700077	1.15E-07
SEC24B	1.928552221	1.15E-07
POGZ	1.506056234	1.17E-07
PPIL5	2.235695033	1.17E-07
AHR	1.432813094	1.21E-07
CLEC3B	2.456871624	1.23E-07
DNAJB14	1.831608383	1.26E-07
CCNG1	2.6483916	1.26E-07
GCC1	2.154361434	1.28E-07
FAM91A1	2.113188908	1.28E-07
C10orf84	-2.455492056	1.30E-07
CYSLTR1	2.724640669	1.30E-07
HEMGN	2.176900188	1.32E-07
SRP14	2.411026421	1.32E-07
VPS24	2.946390908	1.36E-07
SOCS2	1.31095286	1.36E-07
SMAD5	2.169176715	1.36E-07
CCNE1	-1.42558521	1.37E-07
TECR	-1.110361996	1.39E-07
PSMA2	2.705394625	1.40E-07
USP16	1.976526816	1.45E-07
SNX16	2.609985369	1.45E-07
C7orf46	1.73332848	1.50E-07
LEF1	-3.069406149	1.50E-07
ST3GAL5	1.513777076	1.52E-07
PRKACB	2.048330831	1.53E-07
TSEN15	2.19346509	1.54E-07
VAPA	1.861531303	1.55E-07
ALDH5A1	2.277101162	1.56E-07
GSTA4	2.226007559	1.56E-07
CES8	2.267740546	1.60E-07
RABGEF1	2.203167433	1.60E-07
SLC16A3	2.375538102	1.62E-07
NIPBL	2.744032293	1.63E-07
PKN2	1.942238174	1.68E-07
SKA2	2.023151069	1.68E-07
SNORD11	2.701904409	1.71E-07
KCNK17	2.068072071	1.72E-07
ZNF281	2.051549636	1.74E-07
CEP57	1.915860604	1.76E-07
ABT1	1.720885211	1.79E-07
ASH1L	2.415843421	1.80E-07
LOC100190986	1.073391958	1.82E-07
CDC16	2.238114418	1.85E-07
FBXW11	2.214988414	1.87E-07
C6orf173	-0.943950518	1.88E-07
PRKACB	2.61301041	1.89E-07
SNORA2A	1.847064421	1.90E-07
ETV3	1.519548507	1.93E-07
CDC14A	2.415482757	1.93E-07
HNRPK	2.341759444	1.95E-07
GPD2	1.778375115	1.96E-07
MST4	2.104496278	1.99E-07
DDX59	2.162610575	2.01E-07
NBEA	2.249510396	2.03E-07
RORA	2.77182728	2.03E-07
STEAP3	-2.372817165	2.06E-07
MTMR2	2.295993977	2.06E-07
MGC21881	1.375595708	2.09E-07
SEC62	1.756600314	2.10E-07
ZMYM5	1.715306173	2.14E-07
HIST1H2BD	2.909347531	2.15E-07
PPM2C	1.996730593	2.21E-07
PLEKHA1	1.769819129	2.23E-07
RNF19B	1.844216651	2.27E-07
TBC1D9B	1.97326931	2.27E-07
OFD1	1.81652763	2.28E-07
PPP4R1	2.039613541	2.32E-07
VPS36	1.42957004	2.33E-07
TROVE2	2.848900373	2.38E-07
SPI1	2.192249768	2.40E-07
KCNH2	-3.827473531	2.40E-07
TRAF6	2.150451786	2.48E-07
SEC24A	1.717888212	2.52E-07
TIAF1	2.39618237	2.59E-07
TINP1	2.051366765	2.60E-07
TNFRSF10B	1.428222834	2.63E-07
UBE2N	2.703990892	2.63E-07
ITPKA	-1.958926857	2.64E-07
MTPN	2.326510264	2.65E-07
CDC37L1	2.374142546	2.70E-07
IDI1	2.213495663	2.73E-07
RNF8	2.227849247	2.83E-07
HNRPH1	2.246772599	2.83E-07
BFAR	1.877853113	2.85E-07
NCK2	1.776392793	2.87E-07
LRRC8C	2.691372552	2.92E-07
ARL4A	2.479737733	2.94E-07
CD79B	0.949290638	2.98E-07
SKA2	1.320172448	2.99E-07
SNORD33	1.011008212	3.02E-07
FAM119A	2.1674084	3.02E-07
USP44	2.652099182	3.05E-07
ZNF233	2.364625244	3.06E-07
SNORD4A	1.550448639	3.11E-07
RRAS2	1.963799455	3.12E-07
IFNGR2	0.783760138	3.13E-07
ZNF321	2.330586449	3.14E-07
KIAA0090	1.66416609	3.17E-07
SNORA14A	2.241641744	3.19E-07
HTATIP2	2.166712034	3.26E-07
DYNLRB1	2.092006552	3.26E-07
C9orf36	1.833880107	3.31E-07
ARID2	2.340857852	3.33E-07
DSE	2.016522156	3.37E-07
ZNF322A	2.551239821	3.39E-07
SFRS10	2.262171784	3.42E-07
CALM1	2.240151135	3.43E-07
PHLDB1	2.35772501	3.45E-07
ZNF189	2.309132877	3.46E-07
NLRX1	1.54439703	3.57E-07
FAM107B	1.750561694	3.57E-07
MYST4	2.319392767	3.64E-07
SPOP	1.705052805	3.64E-07
CGRRF1	1.551013591	3.69E-07
C2orf49	2.350654597	3.69E-07
PPP2CA	2.480923474	3.70E-07
SFRS11	2.554549316	3.73E-07
C17orf63	1.49330862	3.77E-07
PGRMC2	2.304943821	3.77E-07
TUBG1	-1.54953068	3.81E-07
TOPORS	1.31862355	3.81E-07
SPAST	1.602222208	3.91E-07
SNORD77	1.410571838	3.92E-07
ING3	2.235265329	3.96E-07
TNFRSF10A	1.910839237	3.97E-07
MYO18A	1.961139837	4.06E-07
TFB2M	1.574348636	4.07E-07
RBBP6	1.849247439	4.13E-07
TP53INP1	1.63476274	4.15E-07
SNORD95	1.362838182	4.16E-07
KIAA1267	0.69770044	4.20E-07
FRMPD2	-4.26738285	4.27E-07
SNX7	1.904087625	4.27E-07
C1D	2.365042737	4.42E-07
SNORD30	1.054145772	4.43E-07
SP110	1.290589624	4.47E-07
NUMB	2.022085553	4.47E-07
GNAI3	1.935612448	4.52E-07
CD83	1.879895841	4.53E-07
PHKB	-1.338589404	4.61E-07
AGTPBP1	1.726221136	4.63E-07
DYRK3	2.38217318	4.65E-07
MRPL47	2.052328952	4.71E-07
COQ10B	1.49671389	4.81E-07
TCEAL1	2.313689413	4.82E-07
CSTF2T	2.656762233	4.93E-07
TSPYL2	2.012978847	4.94E-07
